tool_name,Metric,mean_value,std_value,cv,users,nodes
analyzing_data,CPU,0.00016402589828542674,9.541044094429744e-05,0.58167912470914,20,5
analyzing_data,GPU,0.002762641439465609,0.0017416298599179612,0.6304219704511683,20,5
analyzing_data,RAM,0.0003678720959298934,0.00021837697996627973,0.5936220289127244,20,5
analyzing_data,Total,0.0032945394336810103,0.0020542727853498565,0.6235386847546712,20,5
create_visualization,CPU,0.00019213366112979965,0.0001729202950168197,0.9912804439390661,20,5
create_visualization,GPU,0.003191084429741981,0.002871975986767783,1.0674300217949717,20,5
create_visualization,RAM,0.00042612378043875115,0.00038351140239487605,1.0166787394603727,20,5
create_visualization,Total,0.003809341871310595,0.0034284076841795356,1.0577101499451629,20,5
decide_tool,CPU,0.0001214973421791887,0.00010065022410087804,0.8284150278154679,20,5
decide_tool,GPU,0.0019732378859964083,0.0017759140973967675,0.904395624857709,20,5
decide_tool,RAM,0.0002728685451857923,0.00022999663621801184,0.8428843861846018,20,5
decide_tool,Total,0.002367603773361446,0.0021145591303443935,0.8931220477581061,20,5
lookup_sales_data,CPU,0.00012243761735243359,9.175464185232075e-05,0.7493991130863592,20,5
lookup_sales_data,GPU,0.0020013342041999465,0.0016630956238653666,0.8309934544541528,20,5
lookup_sales_data,RAM,0.0002736707505661145,0.00020862612411242135,0.7623252528114822,20,5
lookup_sales_data,Total,0.002397442572118555,0.0019625131445921147,0.8185860914523992,20,5
