Elapsed time;jp@gc - Ultimate Thread Group
12:44:04,600;9.0
12:44:08,800;9.0
12:44:55,200;11.0
12:45:41,900;14.0
12:45:45,700;14.0
12:45:54,400;15.0
12:46:01,700;15.0
12:46:10,900;16.0
12:46:36,0;17.0
12:46:37,0;17.0
12:46:54,400;18.0
12:46:54,600;18.0
12:47:09,0;19.0
12:47:09,700;19.0
12:47:14,900;19.0
12:47:19,0;19.0
12:47:22,700;20.0
12:47:32,300;20.0
12:47:35,0;20.0
12:47:57,600;22.0
12:48:16,200;23.0
12:48:20,400;23.0
12:48:25,600;23.0
12:48:29,700;23.0
12:48:38,600;24.0
12:48:58,700;25.0
12:49:00,0;25.0
12:49:15,300;26.0
12:49:22,500;26.0
12:50:20,800;29.0
12:50:24,300;30.0
12:50:27,0;30.0
12:50:31,400;30.0
12:50:42,200;31.0
12:50:54,600;31.0
12:51:14,600;32.0
12:51:15,700;33.0
12:51:16,0;33.0
12:51:16,100;33.0
12:51:57,0;35.0
12:52:04,400;35.0
12:52:22,0;36.0
12:52:39,500;37.0
12:52:39,900;37.0
12:52:41,900;37.0
12:52:42,900;37.0
12:52:54,100;38.0
12:53:02,600;38.0
12:53:03,700;39.0
12:53:04,300;39.0
12:53:24,300;40.0
12:53:33,300;40.0
12:53:51,200;41.0
12:53:54,600;41.0
12:54:31,400;43.0
12:55:19,200;46.0
12:55:24,0;46.0
12:55:48,300;48.0
12:55:48,900;48.0
12:56:02,400;48.0
12:56:42,200;50.0
12:57:11,100;50.0
12:58:36,200;50.0
12:58:38,0;50.0
12:58:38,400;50.0
12:58:53,500;50.0
12:58:53,800;50.0
12:59:03,500;50.0
12:59:30,300;50.0
13:00:03,700;50.0
13:00:43,800;50.0
13:01:15,400;50.0
13:01:19,500;50.0
13:01:20,700;50.0
13:01:22,300;50.0
13:02:00,800;50.0
13:02:02,300;50.0
13:02:04,800;50.0
13:02:40,0;50.0
13:02:43,700;50.0
13:02:48,900;50.0
13:02:49,0;50.0
13:02:56,800;50.0
13:03:35,300;50.0
13:04:02,900;50.0
13:04:35,400;50.0
13:04:48,900;50.0
13:05:26,100;50.0
13:05:35,100;50.0
13:05:58,800;50.0
13:06:15,300;50.0
13:06:15,900;50.0
13:06:17,600;50.0
13:06:25,800;50.0
13:06:32,700;50.0
13:06:46,0;50.0
13:06:51,400;50.0
13:06:58,900;50.0
13:07:01,500;50.0
13:07:25,600;50.0
13:07:27,800;50.0
13:07:31,400;50.0
13:08:16,600;50.0
13:08:17,100;50.0
13:09:06,900;50.0
13:09:07,400;50.0
13:09:08,200;50.0
13:09:37,600;50.0
13:09:38,0;50.0
13:09:38,900;50.0
13:09:40,0;50.0
13:09:42,0;50.0
13:09:46,300;50.0
13:09:55,0;50.0
13:10:06,800;50.0
13:10:08,700;50.0
13:10:15,200;50.0
13:10:16,200;50.0
13:10:58,400;50.0
13:11:05,700;50.0
13:11:07,100;50.0
13:11:10,900;50.0
13:11:38,100;50.0
13:11:52,700;50.0
13:12:10,700;50.0
13:12:13,100;50.0
13:12:13,300;50.0
13:12:14,300;50.0
13:12:14,700;50.0
13:12:30,100;50.0
13:12:31,100;50.0
13:12:32,100;50.0
13:12:43,500;50.0
13:12:44,300;50.0
13:12:44,800;50.0
13:12:45,500;50.0
13:12:48,700;50.0
13:13:21,100;50.0
13:13:36,600;50.0
13:13:55,100;50.0
13:13:56,200;50.0
13:14:48,0;50.0
13:14:50,500;50.0
13:14:55,900;50.0
13:15:15,500;50.0
13:15:22,700;50.0
13:15:25,100;50.0
13:15:25,700;50.0
13:16:16,200;50.0
13:17:19,200;50.0
13:17:23,200;50.0
13:17:28,0;50.0
13:17:28,500;50.0
13:18:07,400;50.0
13:18:08,200;50.0
13:18:09,100;50.0
13:18:11,600;50.0
13:18:13,0;50.0
13:18:38,800;50.0
13:20:16,700;50.0
13:20:22,700;50.0
13:20:25,0;50.0
13:20:26,600;50.0
13:20:26,900;50.0
13:20:28,0;50.0
13:20:41,0;50.0
13:21:14,0;50.0
13:21:55,200;50.0
13:21:56,400;50.0
13:22:28,500;50.0
13:22:29,500;50.0
13:22:35,0;50.0
13:23:11,900;50.0
13:23:12,700;50.0
13:23:13,700;50.0
13:23:26,800;50.0
13:24:11,200;50.0
13:24:15,600;50.0
13:24:18,600;50.0
13:24:19,100;50.0
13:24:21,500;50.0
13:24:21,600;50.0
13:24:23,300;50.0
13:24:48,900;50.0
13:24:53,800;50.0
13:25:10,900;50.0
13:25:12,0;50.0
13:25:15,200;50.0
13:25:19,200;50.0
13:26:05,200;50.0
13:26:07,200;50.0
13:26:18,300;50.0
13:26:33,900;50.0
13:27:04,100;50.0
13:27:23,900;50.0
13:27:51,0;50.0
13:29:00,900;50.0
13:29:15,300;50.0
13:30:17,300;50.0
13:31:37,0;50.0
13:31:41,200;50.0
13:31:54,600;50.0
13:32:30,500;50.0
13:32:36,600;50.0
13:32:57,0;50.0
13:33:53,300;50.0
13:33:54,0;50.0
13:34:39,500;50.0
13:34:53,400;50.0
13:34:53,600;50.0
13:34:55,100;50.0
13:35:59,400;50.0
13:36:19,500;50.0
13:36:21,100;50.0
13:36:23,100;50.0
13:36:23,300;50.0
13:36:49,500;50.0
13:36:52,300;50.0
13:36:52,900;50.0
13:36:53,700;50.0
13:36:54,700;50.0
13:37:39,900;50.0
13:37:54,200;50.0
13:37:55,800;50.0
13:38:13,800;50.0
13:38:53,400;50.0
13:39:00,900;50.0
13:39:04,200;50.0
13:39:05,0;50.0
13:40:29,900;50.0
13:40:31,200;50.0
13:41:03,800;50.0
13:41:09,0;50.0
13:41:26,200;50.0
13:42:02,0;50.0
