Elapsed time;jp@gc - Ultimate Thread Group
17:51:25,0;7.0
17:51:47,600;9.0
17:51:56,800;9.0
17:52:28,400;11.0
17:52:41,100;11.0
17:52:59,700;13.0
17:53:15,200;13.0
17:53:21,400;14.0
17:53:24,0;14.0
17:53:24,500;14.0
17:53:37,100;15.0
17:53:50,600;15.0
17:53:54,800;16.0
17:53:59,900;16.0
17:54:07,600;16.0
17:54:31,100;18.0
17:54:40,100;18.0
17:55:02,900;19.0
17:55:16,400;20.0
17:55:19,700;20.0
17:55:35,200;21.0
17:55:35,300;21.0
17:55:35,800;21.0
17:55:40,200;21.0
17:55:46,400;22.0
17:56:14,500;23.0
17:56:15,600;23.0
17:56:25,600;24.0
17:56:33,900;24.0
17:56:53,400;25.0
17:57:20,400;27.0
17:57:21,700;27.0
17:57:25,500;27.0
17:57:26,0;27.0
17:57:45,0;28.0
17:57:50,700;29.0
17:58:03,300;29.0
17:58:07,200;30.0
17:58:10,500;30.0
17:58:41,400;32.0
17:58:42,200;32.0
17:59:16,800;33.0
17:59:32,600;34.0
17:59:38,0;35.0
17:59:41,500;35.0
17:59:45,800;35.0
17:59:55,400;36.0
18:00:01,300;36.0
18:00:28,800;37.0
18:00:30,500;38.0
18:00:36,0;38.0
18:01:16,200;40.0
18:01:18,700;40.0
18:01:23,400;40.0
18:01:36,200;41.0
18:01:38,700;41.0
18:01:54,0;42.0
18:02:17,300;43.0
18:02:26,300;44.0
18:02:26,800;44.0
18:02:28,300;44.0
18:02:39,100;45.0
18:02:53,500;46.0
18:02:59,300;46.0
18:03:14,300;47.0
18:03:14,800;47.0
18:03:16,300;47.0
18:03:40,900;48.0
18:03:46,800;48.0
18:03:59,300;49.0
18:04:03,800;49.0
18:04:52,100;50.0
18:04:52,900;50.0
18:04:53,700;50.0
18:05:13,0;50.0
18:05:13,600;50.0
18:05:32,400;50.0
18:05:42,0;50.0
18:05:57,100;50.0
18:06:18,300;50.0
18:06:26,200;50.0
18:06:40,900;50.0
18:06:58,700;50.0
18:07:01,500;50.0
18:07:19,300;50.0
18:07:32,100;50.0
18:07:43,500;50.0
18:08:02,800;50.0
18:08:04,0;50.0
18:08:08,900;50.0
18:08:15,900;50.0
18:08:16,600;50.0
18:08:18,900;50.0
18:08:21,100;50.0
18:08:33,800;50.0
18:08:55,300;50.0
18:09:17,300;50.0
18:09:45,900;50.0
18:09:49,500;50.0
18:09:50,300;50.0
18:09:51,800;50.0
18:09:59,400;50.0
18:10:01,900;50.0
18:10:24,500;50.0
18:10:31,400;50.0
18:10:40,200;50.0
18:10:51,0;50.0
18:10:55,100;50.0
18:11:05,100;50.0
18:11:13,900;50.0
18:11:24,300;50.0
18:11:26,700;50.0
18:11:42,600;50.0
18:11:56,100;50.0
18:12:02,400;50.0
18:12:04,0;50.0
18:12:08,500;50.0
18:12:40,600;50.0
18:12:43,0;50.0
18:13:02,700;50.0
18:13:08,0;50.0
18:13:16,300;50.0
18:13:25,900;50.0
18:13:29,400;50.0
18:13:30,0;50.0
18:14:02,600;50.0
18:14:13,0;50.0
18:14:18,700;50.0
18:14:19,100;50.0
18:14:34,0;50.0
18:14:46,500;50.0
18:14:50,0;50.0
18:14:52,100;50.0
18:14:54,800;50.0
18:15:33,800;50.0
18:15:38,300;50.0
18:15:43,800;50.0
18:15:44,400;50.0
18:16:07,600;50.0
18:16:15,800;50.0
18:16:19,400;50.0
18:16:19,500;50.0
18:16:20,0;50.0
18:16:23,400;50.0
18:16:28,0;50.0
18:16:53,400;50.0
18:16:55,100;50.0
18:16:56,200;50.0
18:16:56,500;50.0
18:17:32,400;50.0
18:17:37,200;50.0
18:17:39,900;50.0
18:18:01,300;50.0
18:18:18,600;50.0
18:18:21,800;50.0
18:18:24,800;50.0
18:18:24,900;50.0
18:18:27,800;50.0
18:19:09,200;50.0
18:19:10,100;50.0
18:19:59,500;50.0
18:20:04,700;50.0
18:20:08,500;50.0
18:20:09,100;50.0
18:20:09,300;50.0
18:20:26,300;50.0
18:20:33,800;50.0
18:20:49,100;50.0
18:21:21,200;50.0
18:21:26,700;50.0
18:21:39,400;50.0
18:21:45,200;50.0
18:21:52,300;50.0
18:21:57,400;50.0
18:22:33,400;50.0
18:22:38,0;50.0
18:22:44,800;50.0
18:22:59,0;50.0
18:23:11,300;50.0
18:23:11,600;50.0
18:23:24,200;50.0
18:23:28,700;50.0
18:23:58,100;50.0
18:24:07,700;50.0
18:24:32,900;50.0
18:24:47,100;50.0
18:24:50,700;50.0
18:24:51,500;50.0
18:24:52,500;50.0
18:25:23,900;50.0
18:25:25,200;50.0
18:25:54,0;50.0
18:26:10,500;50.0
18:26:20,800;50.0
18:26:27,100;50.0
18:26:27,200;50.0
18:26:28,200;50.0
18:26:48,900;50.0
18:26:57,300;50.0
18:26:57,800;50.0
18:27:18,700;50.0
18:27:39,800;50.0
18:27:55,700;50.0
18:28:08,100;50.0
18:28:16,100;50.0
18:28:34,700;50.0
18:28:38,700;50.0
18:28:52,800;50.0
18:28:55,0;50.0
18:29:09,600;50.0
18:29:10,600;50.0
18:29:22,800;50.0
18:29:26,200;50.0
18:29:33,200;50.0
18:29:56,500;50.0
18:30:35,600;50.0
18:30:36,200;50.0
18:30:38,800;50.0
18:30:44,600;50.0
18:30:47,200;50.0
18:30:55,300;50.0
18:31:09,200;50.0
18:31:13,500;50.0
18:31:19,300;50.0
18:31:22,0;50.0
18:32:01,200;50.0
18:32:09,600;50.0
18:32:26,400;50.0
18:32:26,900;50.0
18:32:47,300;50.0
18:32:52,400;50.0
18:33:02,500;50.0
18:33:41,200;50.0
18:33:50,500;50.0
18:34:04,700;50.0
18:34:05,200;50.0
18:34:07,0;50.0
18:34:28,500;50.0
18:34:28,700;50.0
18:34:58,0;50.0
18:35:11,200;50.0
18:35:21,800;50.0
18:35:47,0;50.0
18:35:48,800;50.0
18:36:05,700;50.0
18:36:06,600;50.0
18:36:10,0;50.0
18:36:26,600;50.0
18:36:42,100;50.0
18:36:43,100;50.0
18:36:52,800;50.0
18:37:23,400;50.0
18:37:38,700;50.0
18:37:39,300;50.0
18:37:49,100;50.0
18:38:03,700;50.0
18:38:08,700;50.0
18:38:09,300;50.0
18:38:13,200;50.0
18:38:25,700;50.0
18:38:50,600;50.0
18:39:08,0;50.0
18:39:08,700;50.0
18:39:30,700;50.0
18:39:34,800;50.0
18:39:45,400;50.0
18:40:06,900;50.0
18:40:24,400;50.0
18:40:41,500;50.0
18:40:45,100;50.0
18:40:47,800;50.0
18:41:17,700;50.0
18:41:38,600;50.0
18:41:44,400;50.0
18:41:54,600;50.0
18:41:55,700;50.0
18:42:10,900;50.0
18:42:17,300;50.0
18:42:23,400;50.0
18:42:43,0;50.0
18:43:10,100;50.0
18:43:14,400;50.0
18:43:17,900;50.0
18:43:33,100;50.0
18:43:55,200;50.0
18:44:01,700;50.0
18:44:19,200;50.0
18:44:29,100;50.0
18:44:44,500;50.0
18:44:44,800;50.0
18:44:50,800;50.0
18:45:02,500;50.0
18:45:13,200;50.0
18:45:23,800;50.0
18:45:25,900;50.0
18:45:44,0;50.0
18:45:53,100;50.0
18:46:03,700;50.0
18:46:14,900;50.0
18:46:25,500;50.0
18:46:37,400;50.0
18:47:29,600;50.0
18:47:31,700;50.0
18:47:35,900;50.0
18:47:37,900;50.0
18:47:42,800;50.0
18:47:53,0;50.0
18:47:58,600;50.0
18:48:30,300;50.0
18:49:01,800;50.0
18:49:08,300;50.0
18:49:08,700;50.0
18:49:10,300;50.0
18:49:14,500;50.0
18:49:22,800;50.0
18:49:27,900;50.0
18:50:05,800;50.0
18:50:49,300;50.0
18:50:55,500;50.0
18:50:56,100;50.0
18:51:02,0;50.0
18:51:08,800;50.0
18:51:11,300;50.0
18:51:15,600;50.0
18:51:49,300;50.0
18:52:22,600;50.0
18:52:40,700;50.0
18:52:45,200;50.0
18:52:47,0;50.0
18:53:00,600;50.0
18:53:02,700;50.0
18:53:21,300;50.0
18:53:39,0;50.0
18:53:39,500;50.0
18:54:15,500;50.0
18:54:29,0;50.0
18:54:31,0;50.0
18:54:42,900;50.0
18:54:47,100;50.0
18:55:00,800;50.0
18:55:03,900;50.0
18:55:17,900;50.0
18:55:57,600;50.0
18:55:58,700;50.0
18:56:16,200;50.0
18:56:27,800;50.0
18:56:36,300;50.0
18:56:42,600;50.0
18:57:26,500;50.0
18:57:37,500;50.0
18:58:05,600;50.0
18:58:06,200;50.0
18:58:11,400;50.0
18:58:12,200;50.0
18:58:18,400;50.0
18:58:25,900;50.0
18:58:53,400;50.0
18:59:08,900;50.0
18:59:23,400;50.0
18:59:54,100;50.0
18:59:57,500;50.0
19:00:10,300;50.0
19:00:20,500;50.0
19:00:30,300;50.0
19:00:31,0;50.0
19:00:46,900;50.0
19:00:50,300;50.0
19:01:21,400;50.0
19:01:36,900;50.0
19:01:39,200;50.0
19:01:57,100;50.0
19:02:05,200;50.0
19:02:20,500;50.0
19:02:31,600;50.0
19:02:34,100;50.0
19:02:34,600;50.0
19:02:55,900;50.0
19:03:24,700;50.0
19:03:49,400;50.0
19:03:54,700;50.0
19:04:09,400;50.0
19:04:11,200;50.0
19:04:30,200;50.0
19:04:45,600;49.0
19:04:58,100;49.0
19:05:24,600;48.0
19:05:41,600;48.0
19:05:41,700;48.0
19:05:42,300;47.0
19:05:48,900;47.0
19:06:13,500;47.0
19:06:19,100;46.0
19:06:32,200;46.0
19:06:57,500;46.0
19:07:19,0;46.0
19:07:19,700;46.0
19:07:22,200;45.0
19:07:34,100;44.0
19:07:53,500;44.0
19:07:55,300;43.0
19:07:57,400;43.0
19:08:12,800;43.0
19:08:16,300;42.0
19:08:52,200;41.0
19:09:07,600;40.0
19:09:10,300;39.0
19:09:27,500;38.0
19:09:28,800;36.5
19:09:44,700;35.0
19:09:59,700;34.0
19:10:48,600;33.0
19:10:49,800;32.0
19:10:57,0;31.0
19:11:05,800;30.0
19:11:06,300;29.0
19:11:10,300;28.0
19:11:29,200;27.0
19:12:04,800;26.0
19:12:16,900;25.0
19:12:37,0;24.0
19:12:58,400;23.0
19:13:27,200;22.0
19:13:32,800;21.0
19:13:51,600;20.0
19:14:15,500;19.0
19:14:38,400;18.0
19:14:46,300;17.0
19:15:31,300;16.0
19:15:47,200;15.0
19:15:55,500;14.0
19:15:57,400;13.0
19:16:08,100;12.0
19:17:09,500;11.0
19:17:13,0;10.0
19:17:21,500;9.0
19:17:25,100;8.0
19:18:20,600;7.0
19:19:17,600;6.0
19:19:54,800;7.0
19:21:00,700;10.0
19:21:05,0;10.0
19:21:45,0;11.0
19:22:23,700;14.0
19:22:25,700;13.0
19:22:36,800;13.0
19:22:59,100;14.0
19:23:03,900;15.0
19:23:29,200;16.0
19:23:29,700;16.0
19:23:39,300;17.0
19:23:44,700;17.0
19:23:52,200;16.0
19:23:53,600;17.0
19:24:22,200;18.0
19:24:25,0;18.0
19:24:44,900;19.0
19:25:06,200;21.0
19:25:08,100;21.0
19:25:13,400;21.0
19:25:23,0;20.0
19:25:25,600;21.0
19:25:47,700;22.0
19:25:53,200;22.0
19:26:05,400;23.0
19:26:10,100;23.0
19:26:50,600;25.0
19:26:51,700;25.0
19:26:57,100;26.0
19:27:07,900;26.0
19:27:23,900;27.0
19:27:27,600;27.0
19:27:34,400;28.0
19:27:46,500;28.0
19:28:19,200;30.0
19:28:36,400;31.0
19:28:48,0;32.0
19:28:48,600;32.0
19:28:51,900;32.0
19:28:56,500;32.0
19:28:59,700;33.0
19:29:15,700;33.0
19:29:16,600;33.0
19:29:26,0;34.0
19:29:33,300;34.0
19:29:38,200;35.0
19:30:08,100;36.0
19:30:09,100;36.0
19:30:10,900;36.0
19:30:42,700;38.0
19:30:50,400;39.0
19:31:08,900;40.0
19:31:13,0;40.0
19:31:13,200;40.0
19:31:28,100;41.0
19:31:29,200;41.0
19:31:34,600;41.0
19:32:05,700;43.0
19:32:27,800;44.0
19:32:41,700;45.0
19:32:49,100;45.0
19:32:55,200;46.0
19:33:05,700;46.0
19:33:11,0;46.0
19:33:11,500;47.0
19:33:34,0;48.0
19:33:51,800;49.0
19:34:12,800;50.0
19:34:21,200;50.0
19:34:24,900;50.0
19:34:25,100;50.0
19:34:46,800;50.0
19:34:48,500;50.0
19:35:04,100;50.0
19:35:06,600;50.0
19:35:21,300;50.0
19:35:35,600;50.0
19:35:48,0;50.0
19:35:49,200;50.0
19:36:01,100;50.0
19:36:13,800;50.0
19:36:27,500;50.0
19:36:42,100;50.0
19:36:44,400;50.0
19:36:55,700;50.0
19:37:00,200;50.0
19:37:01,900;50.0
19:37:19,500;50.0
19:37:21,200;50.0
19:37:22,600;50.0
19:37:29,900;50.0
19:37:51,600;50.0
19:38:42,500;50.0
19:38:53,900;50.0
19:38:56,200;50.0
19:38:58,100;50.0
19:38:58,700;50.0
19:39:03,600;50.0
19:39:13,900;50.0
19:39:32,800;50.0
19:39:38,900;50.0
19:39:44,400;50.0
19:40:19,500;50.0
19:40:21,600;50.0
19:40:23,0;50.0
19:40:31,900;50.0
19:40:48,100;50.0
19:41:06,900;50.0
19:41:08,200;50.0
19:41:09,300;50.0
19:41:47,800;50.0
19:41:51,800;50.0
