tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,3.3789369350853157e-05,1.0477747343055272e-05,15,3
analyzing_data,GPU,0.00042621269572685653,0.00015921023162284906,15,3
analyzing_data,RAM,8.148384066718191e-05,2.416705164158993e-05,15,3
analyzing_data,Total,0.0005414859057449032,0.0001920884260412216,15,3
create_visualization,CPU,2.0361491753314823e-05,3.826260904448649e-06,15,3
create_visualization,GPU,0.00019326194808487392,4.334699514863363e-05,15,3
create_visualization,RAM,4.989836927174738e-05,1.1693309258697747e-05,15,3
create_visualization,Total,0.0002635218091099435,5.732204833419202e-05,15,3
decide_tool,CPU,9.477971226032469e-06,1.6939868108566525e-06,15,3
decide_tool,GPU,4.5972857464196075e-05,1.135007285427734e-05,15,3
decide_tool,RAM,2.2172370461167392e-05,4.285388264904503e-06,15,3
decide_tool,Total,7.762319915139519e-05,1.677888270995387e-05,15,3
lookup_sales_data,CPU,1.659672331315819e-05,6.951816477903377e-06,15,3
lookup_sales_data,GPU,8.494568703624196e-05,2.9635328325586042e-05,15,3
lookup_sales_data,RAM,4.621498405140834e-05,1.799278945564122e-05,15,3
lookup_sales_data,Total,0.0001477573944007873,4.416676606896974e-05,15,3
