Elapsed time;my_test_sampler
14:08:45,500;109301.0
14:09:29,0;106901.0
14:09:41,500;109034.0
14:09:53,0;52875.0
14:10:46,0;112835.0
14:10:54,0;130454.0
14:10:54,500;122059.0
14:11:01,500;40461.0
14:11:18,0;128128.0
14:11:27,0;38338.0
14:11:35,500;37465.0
14:11:38,500;117811.0
14:11:43,0;112666.0
14:11:46,500;36932.0
14:11:51,500;73956.5
14:13:17,0;70983.0
14:13:28,500;77881.0
14:13:30,0;72511.0
14:13:34,0;130060.0
14:13:42,0;77453.0
14:14:45,500;76971.0
14:14:53,0;153390.0
14:14:59,0;165050.0
14:14:59,500;163704.0
14:15:04,0;210335.0
14:15:05,0;72032.0
14:15:05,500;200717.0
14:15:06,500;192255.0
14:15:08,500;187919.0
14:15:40,0;169227.0
14:16:04,0;235875.0
14:16:05,0;224650.0
14:16:27,500;89534.0
14:16:45,500;92177.0
14:16:46,500;164799.0
14:16:49,500;188739.0
14:16:53,500;87323.0
14:17:02,500;78753.0
14:17:20,0;244780.0
14:17:36,0;77005.0
14:17:41,500;74712.0
14:18:04,0;237434.0
14:18:20,0;195427.0
14:18:38,500;106660.0
14:18:39,500;214377.0
14:18:40,0;195575.0
14:18:45,500;62031.333333333336
14:19:11,0;293397.0
14:19:21,500;130958.0
14:19:36,500;131826.0
14:19:38,0;300093.0
14:19:38,500;265727.0
14:19:43,500;240052.0
14:19:46,500;106674.0
14:19:48,500;119678.0
14:20:35,0;230921.0
14:20:50,0;238043.0
14:20:55,500;240862.0
14:21:16,0;120254.0
14:21:38,0;271766.0
14:21:42,0;119240.0
14:21:43,500;118616.0
14:22:32,0;345996.0
14:23:15,500;154975.0
14:23:52,500;306007.0
14:24:08,500;190801.0
14:24:32,500;207889.0
14:24:36,500;447640.0
14:24:46,500;452396.0
14:25:07,0;368818.0
14:25:07,500;359112.0
14:25:17,0;347036.0
14:25:21,500;367802.0
14:25:30,0;476273.0
14:25:32,500;349571.0
14:25:47,0;364383.0
14:25:50,500;365516.0
14:25:51,0;242121.0
14:25:54,0;478398.0
14:26:05,500;370034.0
14:26:12,500;370565.0
14:26:13,0;350681.0
14:26:14,0;385759.0
14:26:22,0;360053.0
14:26:25,500;380027.0
14:26:35,0;482629.0
14:26:36,0;366806.0
14:26:50,0;372784.0
14:27:17,0;388864.0
14:27:17,500;185450.0
14:27:18,0;510642.0
14:27:40,500;400215.0
14:27:47,500;489714.0
14:28:08,0;396915.0
