tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,3.7944187817194246e-05,1.3162536751583788e-05,15,5
analyzing_data,GPU,0.0005695285716859388,0.00029288959732772267,15,5
analyzing_data,RAM,9.086931354210969e-05,3.018255268369936e-05,15,5
analyzing_data,Total,0.0006983420730452546,0.0003322434622233607,15,5
create_visualization,CPU,1.9640053282233164e-05,2.2198410285100486e-06,15,5
create_visualization,GPU,0.00019717195171771042,3.3523769216775715e-05,15,5
create_visualization,RAM,4.606235367127402e-05,5.120595887027505e-06,15,5
create_visualization,Total,0.0002628743586712104,3.883905433474284e-05,15,5
decide_tool,CPU,9.57126019863413e-06,1.776965548676174e-06,15,5
decide_tool,GPU,5.3205273532274e-05,1.8835448956192727e-05,15,5
decide_tool,RAM,2.2238977296859758e-05,3.950727759991685e-06,15,5
decide_tool,Total,8.501551102776376e-05,2.2541307903516743e-05,15,5
lookup_sales_data,CPU,1.828375385956999e-05,6.426224752977451e-06,15,5
lookup_sales_data,GPU,0.00013207282824690615,4.992769860585507e-05,15,5
lookup_sales_data,RAM,4.915993425211129e-05,1.529865840444676e-05,15,5
lookup_sales_data,Total,0.0001995165163585783,5.519234727625305e-05,15,5
