Elapsed time;my_test_sampler
14:15:55,0;113544.0
14:17:35,0;159912.0
14:19:10,500;226932.0
14:20:45,0;264091.0
14:22:32,0;346332.0
14:24:09,500;440332.0
14:25:44,500;497425.0
14:26:21,500;522788.0
14:27:58,500;601139.0
14:29:35,0;627196.0
14:30:11,500;657089.0
14:31:48,0;733761.0
14:33:23,0;801549.0
14:34:59,0;848316.0
14:35:36,0;875345.0
14:37:11,500;913675.0
14:38:50,500;984994.0
14:39:27,0;1010598.0
14:41:05,500;1107712.0
14:42:42,0;1157272.0
14:43:19,0;1139917.0
14:44:29,500;1111583.0
14:45:41,0;1154826.0
14:46:18,0;1029884.0
14:46:54,0;1022791.0
14:47:30,500;1038397.0
14:48:07,500;918359.0
14:49:18,500;952176.0
14:50:29,0;927586.0
14:51:39,0;959193.0
14:52:48,0;934002.0
14:53:24,500;870256.0
14:55:00,0;903809.0
14:55:36,500;813160.0
14:56:12,500;759072.0
14:57:27,0;797563.0
14:58:39,500;849012.0
15:00:10,0;855555.0
15:00:46,500;866544.0
15:01:22,500;829745.0
15:02:54,500;897921.0
15:03:30,500;879562.0
15:04:06,500;878593.0
15:04:42,0;815245.0
15:06:12,0;870819.0
15:06:48,0;804805.0
15:07:24,0;836791.0
15:08:39,500;814596.0
15:09:56,500;845780.0
15:11:32,0;917194.0
15:12:08,0;872861.0
15:13:51,500;858003.0
15:15:08,500;888676.0
15:16:43,500;914542.0
15:18:14,0;1002817.0
15:19:35,0;977574.0
15:21:09,0;1058374.0
15:22:44,0;1099976.0
15:36:10,500;1886824.0
15:37:51,500;1850074.0
15:39:28,500;1918436.0
15:41:07,500;1627068.0
15:42:42,0;1645249.0
15:44:17,500;1737863.0
15:45:54,0;1798132.0
15:47:29,0;1820531.0
15:49:09,0;1904964.0
15:50:44,500;1913047.0
15:52:24,0;2010490.0
15:54:00,500;2056524.0
15:55:36,500;2121600.0
15:57:12,500;2195114.0
15:58:48,500;2213724.0
16:00:24,500;2269043.0
16:02:01,500;2325373.0
16:03:38,500;2419209.0
16:04:15,500;1379782.0
16:04:52,0;1320736.0
16:05:29,0;1249755.0
16:06:05,500;1206365.0
16:06:42,0;1152534.0
16:07:18,500;1087204.0
16:07:55,0;984862.0
16:09:04,500;994152.0
16:09:41,500;933161.0
16:10:18,0;881735.0
16:10:55,0;807560.0
16:11:31,500;748417.0
16:12:08,0;694698.0
16:13:17,500;667494.0
16:13:54,500;613832.0
16:14:31,0;607139.0
16:16:07,500;130103.0
16:17:44,0;178478.0
16:19:19,500;243916.0
16:20:54,500;297268.0
16:22:05,500;329218.0
16:23:40,500;421873.0
16:25:16,0;453925.0
16:26:51,500;530430.0
16:28:11,500;589250.0
16:29:49,0;662617.0
16:31:24,500;724149.0
16:32:01,500;755475.0
16:33:37,500;815755.0
16:35:14,0;830836.0
16:36:24,0;897615.0
16:38:05,500;987532.0
16:39:41,0;1053206.0
16:40:55,500;1123571.0
16:42:34,500;1187649.0
16:44:15,500;1255582.0
16:45:25,0;1296256.0
16:46:02,0;1234240.0
16:46:38,0;1182540.0
16:47:14,500;1141093.0
16:47:51,500;1077535.0
16:48:28,0;1015693.0
16:49:39,0;1022262.0
16:50:49,500;1021283.0
16:51:31,500;973303.0
16:52:08,0;943864.0
16:53:21,0;882884.0
16:53:58,0;845351.0
16:55:35,500;873450.0
16:56:54,0;846299.0
16:58:04,500;826676.0
16:58:40,500;789405.0
16:59:18,500;785843.0
16:59:57,500;768669.0
17:01:29,500;850099.0
17:02:05,500;826624.0
17:02:41,500;849494.0
17:04:16,0;849756.0
17:05:27,500;845286.0
17:06:37,0;898703.0
17:08:05,500;920160.0
17:09:41,500;961477.0
17:10:23,0;983693.0
17:12:00,0;971704.0
17:13:12,500;965321.0
17:14:46,0;963131.0
17:15:22,0;989954.0
17:16:54,0;1040520.0
17:18:24,500;1101822.0
17:19:39,500;1062521.0
17:21:12,500;1125798.0
17:22:43,0;1189801.0
17:23:56,0;1161838.0
17:25:28,0;1156861.0
17:27:00,500;1207644.0
