Elapsed time;my_test_sampler
23:33:08,500;108649.0
23:34:11,0;36360.0
23:34:19,0;105248.0
23:34:52,500;109120.0
23:35:05,500;46113.0
23:35:20,0;48594.0
23:35:40,0;93056.0
23:35:43,500;104230.0
23:35:57,0;36105.0
23:36:01,500;102658.0
23:36:25,500;37166.0
23:36:40,0;93623.0
23:37:00,0;77938.0
23:37:22,0;68605.0
23:37:32,500;92856.0
23:37:38,500;95222.0
23:37:45,500;108166.0
23:37:55,0;117742.0
23:38:12,0;64352.0
23:38:16,500;135994.0
23:38:19,500;102429.0
23:38:24,500;44270.0
23:38:53,500;41081.0
23:38:57,0;131938.0
23:39:08,500;172874.0
23:39:10,500;38459.0
23:39:22,0;80337.0
23:39:25,0;108075.0
23:39:46,500;157056.0
23:40:16,500;154770.0
23:40:30,500;109952.0
23:40:41,0;76216.0
23:40:47,0;77336.0
23:40:47,500;151289.0
23:40:48,0;234041.0
23:41:01,0;107598.0
23:41:05,0;214343.0
23:41:55,500;60654.0
23:42:10,0;151780.0
23:42:12,500;57457.0
23:42:17,500;214357.0
23:42:26,500;97899.0
23:42:31,0;331057.0
23:42:44,0;143799.0
23:42:54,0;186573.5
23:43:42,0;117607.0
23:43:59,0;85630.0
23:44:14,500;272710.0
23:44:24,0;131515.0
23:44:48,500;108004.0
23:44:50,500;103241.0
23:44:53,0;354217.0
23:44:59,0;315263.0
23:45:04,0;170254.0
23:45:06,0;117997.0
23:45:21,500;96502.0
23:45:36,0;255169.0
23:45:43,0;149205.0
23:46:16,0;80476.0
23:46:23,0;86482.0
23:46:33,0;406696.0
23:46:47,0;161560.0
23:46:47,500;101682.0
23:46:58,0;89135.0
23:47:07,500;311861.5
23:47:11,500;224185.0
23:47:13,0;445681.0
23:48:13,500;184683.0
23:48:22,0;189362.0
23:48:41,500;138064.0
23:48:42,0;94247.0
23:48:46,0;527227.0
23:48:48,0;190573.0
23:48:58,500;103494.0
23:49:06,0;458787.0
23:49:29,0;46588.0
23:49:30,0;199831.0
23:49:45,0;145754.0
23:49:46,500;326733.0
23:49:53,0;280550.0
23:50:06,500;216797.0
23:50:07,500;93962.0
23:50:24,0;521754.0
23:50:46,0;249588.0
23:51:02,500;144581.0
23:51:05,500;127260.0
23:51:23,0;421019.0
23:51:23,500;239504.0
23:51:28,0;118045.0
23:51:33,0;320886.0
23:51:44,0;156279.0
23:52:14,0;288945.0
23:52:15,0;626867.0
23:52:17,500;149010.0
23:52:20,500;74025.0
23:52:38,0;355631.0
23:52:40,500;160985.0
23:52:56,0;186709.0
23:53:18,500;239778.0
23:53:35,500;545309.0
23:53:48,500;360919.0
23:54:00,500;145044.0
23:54:03,500;275971.0
23:54:08,0;175774.0
23:54:12,0;439271.0
23:54:22,0;261825.0
23:54:46,500;139488.0
23:55:16,500;280170.0
23:55:23,500;646349.0
23:55:34,0;465088.0
23:55:35,0;229344.0
23:55:40,0;142921.0
23:55:43,0;95481.0
23:55:57,500;104670.0
23:55:58,0;98131.0
23:56:26,500;238668.0
23:57:00,500;303772.0
23:57:20,500;556209.0
