tool_name,Metric,mean_value,std_value,cv,users,nodes
analyzing_data,CPU,5.5721684687783145e-05,2.0896644193456013e-05,0.3750181695069524,30,3
analyzing_data,GPU,0.0008577464427812395,0.0003719663220671962,0.4336553362565945,30,3
analyzing_data,RAM,0.00013166946953792924,4.790605456203336e-05,0.363835707170016,30,3
analyzing_data,Total,0.0010451375970069897,0.0004399126717072653,0.4209136413875687,30,3
create_visualization,CPU,4.208784233016848e-05,3.116583157706389e-05,0.7404948757547566,30,3
create_visualization,GPU,0.0005830128459033198,0.0003933051244134193,0.6746079905049649,30,3
create_visualization,RAM,9.966644340610033e-05,7.239268882158393e-05,0.7263496754530818,30,3
create_visualization,Total,0.0007247671316396007,0.00048582063180319064,0.6703127261085163,30,3
decide_tool,CPU,2.1769706413526315e-05,1.434096183582662e-05,0.658757705015078,30,3
decide_tool,GPU,0.0002549634215133926,0.00022946707936205332,0.9306446826642976,30,3
decide_tool,RAM,5.382220629930363e-05,3.4263382746027086e-05,0.6366030882400002,30,3
decide_tool,Total,0.000330555334226214,0.00028248566559511875,0.8545790563518815,30,3
lookup_sales_data,CPU,2.759379907721695e-05,1.4174034507270785e-05,0.5136673811245401,30,3
lookup_sales_data,GPU,0.00034496789776892117,0.0002483579897091718,0.7199452219044913,30,3
lookup_sales_data,RAM,6.823067592386942e-05,3.241255468383225e-05,0.4750437284249918,30,3
lookup_sales_data,Total,0.0004407923727700107,0.0002917418794282842,0.6618578211663032,30,3
