Elapsed time;jp@gc - Ultimate Thread Group
01:21:47,700;3.0
01:22:02,300;4.0
01:22:35,400;4.0
01:23:19,300;4.0
01:23:41,300;5.0
01:24:11,300;5.0
01:24:14,500;5.0
01:25:08,500;6.0
01:25:31,900;6.0
01:25:34,100;6.0
01:27:03,900;7.0
01:27:14,900;7.0
01:27:37,400;7.0
01:27:39,100;7.0
01:27:51,0;7.0
01:27:57,0;7.0
01:28:01,200;7.0
01:28:21,100;8.0
01:28:57,300;8.0
01:29:08,0;8.0
01:29:13,700;8.0
01:29:48,600;9.0
01:29:49,700;9.0
01:30:15,100;9.0
01:30:44,700;9.0
01:30:46,700;9.0
01:30:58,100;9.0
01:31:00,100;9.0
01:31:14,600;10.0
01:31:20,400;10.0
01:31:41,600;10.0
01:31:46,200;10.0
01:32:07,200;10.0
01:32:29,200;10.0
01:32:29,600;10.0
01:32:48,500;10.0
01:32:51,0;10.0
01:32:58,500;10.0
01:33:30,0;10.0
01:34:02,900;10.0
01:34:04,500;10.0
01:34:14,600;10.0
01:34:19,800;10.0
01:34:24,800;10.0
01:34:30,700;10.0
01:35:04,700;10.0
01:35:44,300;10.0
01:36:09,300;10.0
01:36:09,900;10.0
01:36:10,400;10.0
01:36:29,800;10.0
01:36:30,200;10.0
01:36:31,800;10.0
01:36:38,300;10.0
01:37:29,900;10.0
01:37:42,400;10.0
01:37:59,500;10.0
01:38:08,200;10.0
01:38:18,300;10.0
01:38:26,0;10.0
01:38:26,300;10.0
01:39:01,300;10.0
01:39:14,600;10.0
01:39:25,600;10.0
01:39:32,100;10.0
01:39:42,200;10.0
01:39:47,900;10.0
01:40:12,500;10.0
01:40:19,800;10.0
01:40:35,300;10.0
01:40:40,300;10.0
01:41:10,100;10.0
01:41:20,0;10.0
01:41:31,100;10.0
01:41:37,100;10.0
01:41:56,900;10.0
01:41:59,500;10.0
01:42:13,300;10.0
01:42:16,900;10.0
01:42:59,500;10.0
01:43:15,800;10.0
01:43:18,500;10.0
01:43:23,400;10.0
01:43:34,300;10.0
01:43:35,0;10.0
01:44:03,400;10.0
01:44:08,900;10.0
01:44:22,800;10.0
01:44:52,0;10.0
01:44:59,700;10.0
01:45:10,800;10.0
01:45:13,100;10.0
01:45:21,700;10.0
01:45:32,500;10.0
01:45:46,600;10.0
01:45:59,800;10.0
01:46:10,500;10.0
01:46:16,600;10.0
01:46:40,100;10.0
01:47:13,500;10.0
01:47:16,900;10.0
01:48:06,300;10.0
01:48:15,800;10.0
01:48:22,600;10.0
01:48:22,900;10.0
01:48:26,200;10.0
01:48:29,900;10.0
01:48:52,100;10.0
01:49:14,100;10.0
01:49:47,300;10.0
01:50:02,100;10.0
01:50:19,800;10.0
01:50:34,800;10.0
01:50:53,700;10.0
01:51:23,700;10.0
01:51:27,0;10.0
01:51:32,0;10.0
01:51:37,800;10.0
01:52:04,300;10.0
01:52:15,0;10.0
01:52:18,100;10.0
01:52:20,400;10.0
01:52:25,100;10.0
01:52:29,600;10.0
01:52:38,600;10.0
01:52:45,100;10.0
01:52:45,500;10.0
01:52:57,700;10.0
01:53:07,600;10.0
01:53:41,700;10.0
01:53:45,200;10.0
01:53:49,800;10.0
01:54:03,900;10.0
01:54:15,600;10.0
01:54:17,500;10.0
01:54:43,600;10.0
01:55:10,900;10.0
01:55:15,200;10.0
01:55:29,400;10.0
01:55:39,0;10.0
01:55:45,800;10.0
01:55:57,900;10.0
01:56:02,100;10.0
01:56:27,300;10.0
01:56:30,200;10.0
01:56:52,200;10.0
01:57:00,900;10.0
01:57:07,100;10.0
01:57:11,900;10.0
01:57:34,300;10.0
01:57:55,700;10.0
01:57:59,400;10.0
01:58:09,200;10.0
01:58:25,0;10.0
01:58:33,300;10.0
01:58:39,900;10.0
01:58:40,600;10.0
01:58:42,900;10.0
01:59:03,300;10.0
01:59:41,800;10.0
01:59:52,100;10.0
01:59:55,400;10.0
01:59:59,100;10.0
02:00:01,400;10.0
02:00:05,200;10.0
02:00:17,500;10.0
02:00:49,200;10.0
02:01:01,200;10.0
02:01:06,700;10.0
02:01:19,900;10.0
02:01:23,800;10.0
02:01:32,200;10.0
02:01:48,600;10.0
02:01:52,400;10.0
02:02:09,0;10.0
02:02:20,300;10.0
02:02:46,300;10.0
02:03:07,400;10.0
02:03:11,100;10.0
02:03:29,0;10.0
02:03:40,700;10.0
02:03:55,200;10.0
02:04:00,0;10.0
02:04:10,600;10.0
02:04:10,700;10.0
02:05:00,300;10.0
02:05:00,400;10.0
02:05:18,100;10.0
02:05:18,500;10.0
02:05:39,800;10.0
02:05:46,200;10.0
02:05:52,700;10.0
02:06:19,900;10.0
02:06:22,900;10.0
02:06:45,400;10.0
02:07:19,100;10.0
02:07:48,100;10.0
02:07:48,700;10.0
02:07:59,0;10.0
02:08:15,700;10.0
02:08:23,100;9.0
02:08:30,0;9.0
02:08:33,400;9.0
02:08:36,100;9.0
02:08:39,300;9.0
02:09:08,600;9.0
02:09:20,500;9.0
02:09:24,400;9.0
02:10:08,0;8.0
02:10:17,200;7.0
02:10:18,400;7.0
02:10:23,700;6.0
02:11:00,800;6.0
02:11:03,600;5.0
02:11:24,300;4.0
02:11:44,300;3.0
02:12:07,100;2.0
02:12:19,600;2.0
02:13:24,0;1.0
02:19:24,600;2.0
02:21:01,800;3.0
02:21:13,0;3.0
02:21:54,700;3.0
