Elapsed time;my_test_sampler
08:26:45,500;108173.0
08:28:00,500;36904.0
08:29:42,500;109285.0
08:30:18,500;135496.0
08:32:07,0;143454.0
08:33:37,500;174679.0
08:35:12,500;228610.0
08:35:48,500;217697.0
08:36:59,0;197635.0
08:37:36,0;141549.0
08:39:12,500;203205.0
08:40:24,500;187264.0
08:41:06,0;206988.0
08:42:19,0;171969.0
08:43:32,0;184530.0
08:45:03,500;236283.0
08:46:42,0;260665.0
08:47:56,0;255502.0
08:49:20,500;254438.0
08:50:33,500;205842.0
08:51:46,500;215615.0
08:52:58,500;196165.0
08:54:11,0;207889.0
08:55:28,0;189276.0
08:56:41,0;167958.0
08:57:54,500;211588.0
08:58:31,0;129807.0
09:00:11,500;177762.0
09:01:41,500;210578.0
09:03:11,0;229950.0
09:04:24,500;220317.0
09:05:01,500;190360.0
09:06:36,500;190461.0
09:07:54,500;204877.0
09:09:16,0;236473.0
09:10:29,0;216895.0
09:11:06,500;162690.0
09:12:50,0;212300.0
09:14:04,0;177447.0
09:15:17,0;246641.0
09:15:54,500;181475.0
09:17:33,500;131237.0
09:26:12,500;105431.0
09:27:16,0;41866.0
09:28:45,0;76531.0
09:30:19,500;160962.0
09:31:56,0;165609.0
09:32:33,0;97525.0
09:34:07,500;182456.0
09:35:21,0;175107.0
09:36:33,500;234079.0
09:37:11,0;153913.0
09:38:24,0;118785.0
09:40:01,0;197102.0
09:40:37,500;191630.0
09:41:50,500;189862.0
09:43:03,500;169017.0
09:44:39,500;235016.0
09:45:17,500;203941.0
09:46:55,500;220181.0
09:48:08,0;198025.0
09:49:21,500;218923.0
09:50:42,500;193250.0
09:51:56,500;196657.0
09:53:12,0;230077.0
09:54:28,0;219779.0
09:55:41,0;216866.0
09:56:18,0;183608.0
09:57:31,0;176012.0
09:58:47,0;150879.0
10:00:10,0;213769.0
10:01:30,0;204509.0
10:02:43,500;221532.0
10:04:18,0;246153.0
10:04:54,500;196166.0
10:06:12,0;200958.0
10:07:27,0;152199.0
10:08:04,0;131061.0
10:08:40,500;139783.0
10:10:17,500;160530.0
10:10:53,500;164982.0
10:12:10,0;190389.0
10:12:47,0;144501.0
10:14:21,0;201375.0
10:15:56,0;205019.0
10:16:32,500;222910.0
10:17:09,0;59959.0
10:25:59,0;100485.0
10:27:23,0;81524.0
10:28:43,0;77660.0
10:30:24,500;148619.0
10:32:01,0;167305.0
10:33:11,0;143905.0
10:34:46,0;218175.0
10:36:22,500;255947.0
10:37:34,0;246496.0
10:38:53,0;224219.0
10:40:06,0;219201.0
10:53:35,0;952053.0
10:54:16,500;917860.0
10:55:29,0;910721.0
10:57:05,0;203939.0
10:58:42,0;261088.0
10:59:58,0;260548.0
11:01:09,500;237343.0
11:02:20,500;194736.0
11:03:31,0;196498.0
11:04:44,0;214094.0
11:05:55,500;150443.0
11:07:15,500;163403.0
11:07:54,500;173260.0
11:09:34,500;195238.0
11:11:13,500;186593.0
11:11:50,500;213526.0
11:13:28,0;221572.0
11:14:45,0;207642.0
11:16:23,0;258912.0
11:17:34,500;225647.0
11:18:11,0;202051.0
