Elapsed time;jp@gc - Ultimate Thread Group
04:02:30,200;9.0
04:02:45,100;10.0
04:02:49,500;10.0
04:03:48,800;14.0
04:03:50,400;14.0
04:04:05,400;15.0
04:04:05,500;15.0
04:04:06,400;15.0
04:04:15,0;16.0
04:04:15,600;16.0
04:04:18,0;16.0
04:04:43,200;18.0
04:04:43,400;18.0
04:04:43,800;18.0
04:05:07,900;19.0
04:05:23,900;21.0
04:05:25,600;21.0
04:05:41,400;22.0
04:06:07,700;23.0
04:06:09,900;23.0
04:06:24,300;24.0
04:06:39,500;25.0
04:06:40,200;25.0
04:06:46,200;25.0
04:06:54,0;26.0
04:06:54,700;26.0
04:07:00,500;26.0
04:07:08,100;27.0
04:07:22,200;28.0
04:07:23,300;28.0
04:07:31,700;28.0
04:07:56,0;31.0
04:08:01,900;31.0
04:08:11,700;31.0
04:08:14,100;32.0
04:08:15,800;31.0
04:08:43,400;33.0
04:08:48,400;34.0
04:08:48,700;34.0
04:08:49,600;34.0
04:09:12,800;36.0
04:09:16,0;36.0
04:09:43,400;38.0
04:09:47,100;37.0
04:09:55,300;39.0
04:09:59,100;39.0
04:10:19,700;40.0
04:10:38,500;41.0
04:10:38,900;42.0
04:10:39,400;42.0
04:10:44,400;42.0
04:11:16,0;44.0
04:11:16,100;44.0
04:11:30,800;45.0
04:11:34,600;45.0
04:11:42,400;46.0
04:11:57,700;47.0
04:12:08,400;47.0
04:12:17,300;47.0
04:12:31,900;49.0
04:12:49,0;50.0
04:12:52,0;50.0
04:13:23,0;52.0
04:13:24,500;53.0
04:13:34,0;53.0
04:13:38,500;54.0
04:13:39,100;54.0
04:13:41,800;54.0
04:14:04,100;55.0
04:14:26,100;57.0
04:14:29,500;57.0
04:14:49,500;58.0
04:14:51,600;58.0
04:15:05,100;59.0
04:15:11,0;60.0
04:15:17,400;60.0
04:15:35,100;60.0
04:15:37,900;60.0
04:16:14,400;60.0
04:16:16,300;60.0
04:16:18,200;60.0
04:16:30,600;60.0
04:16:35,300;60.0
04:16:39,700;60.0
04:16:49,900;60.0
04:16:57,500;60.0
04:17:09,400;60.0
04:17:24,0;60.0
04:17:35,100;60.0
04:17:40,900;60.0
04:17:41,400;60.0
04:17:44,500;60.0
04:17:51,0;60.0
04:18:26,800;60.0
04:18:52,900;60.0
04:19:12,0;60.0
04:19:19,700;60.0
04:19:21,100;60.0
04:19:29,300;60.0
04:19:32,800;60.0
04:19:34,600;60.0
04:19:44,100;60.0
04:19:56,800;60.0
04:20:05,600;60.0
04:20:10,500;60.0
04:20:13,600;60.0
04:20:14,300;60.0
04:20:42,200;60.0
04:20:52,400;60.0
04:20:54,600;60.0
04:21:00,900;60.0
04:21:11,700;60.0
04:21:22,500;60.0
04:21:28,700;60.0
04:21:31,400;60.0
04:21:32,900;60.0
04:21:50,700;60.0
04:22:43,200;60.0
04:22:49,600;60.0
04:22:50,900;60.0
04:23:01,600;60.0
04:23:03,900;60.0
04:23:07,0;60.0
04:23:12,700;60.0
04:23:24,600;60.0
04:23:27,0;60.0
04:23:43,500;60.0
04:24:29,600;60.0
04:24:31,200;60.0
04:24:47,300;60.0
04:24:48,400;60.0
04:24:57,600;60.0
04:25:04,500;60.0
04:25:19,600;60.0
04:25:23,500;60.0
04:25:48,700;60.0
04:26:03,600;60.0
04:26:05,0;60.0
04:26:22,600;60.0
04:26:25,500;60.0
04:26:36,700;60.0
04:27:04,200;60.0
04:27:08,200;60.0
04:27:11,200;60.0
04:27:14,900;60.0
04:27:17,800;60.0
04:27:45,500;60.0
04:27:46,0;60.0
04:27:52,200;60.0
04:27:54,500;60.0
04:28:28,300;60.0
04:28:32,600;60.0
04:28:34,0;60.0
04:29:10,700;60.0
04:29:15,100;60.0
04:29:23,200;60.0
04:29:28,200;60.0
04:29:28,700;60.0
04:29:30,300;60.0
04:29:59,600;60.0
04:30:17,0;60.0
04:30:39,900;60.0
04:31:04,400;60.0
04:31:11,700;60.0
04:31:12,600;60.0
04:31:15,200;60.0
04:31:22,500;60.0
04:31:27,600;60.0
04:31:30,200;60.0
04:32:08,500;60.0
04:32:22,700;60.0
04:32:29,700;60.0
04:32:44,100;60.0
04:32:47,900;60.0
04:32:49,200;60.0
04:33:03,300;60.0
04:33:07,900;60.0
04:33:13,300;60.0
04:33:48,300;60.0
04:34:02,300;60.0
04:34:04,400;60.0
04:34:24,900;60.0
04:34:26,700;60.0
04:34:29,200;60.0
04:34:37,300;60.0
04:34:49,200;60.0
04:35:11,0;60.0
04:35:25,200;60.0
04:35:27,900;60.0
04:35:39,700;60.0
04:35:41,700;60.0
04:36:04,500;60.0
04:36:21,700;60.0
04:36:22,0;60.0
04:36:36,0;60.0
04:36:47,300;60.0
04:36:55,900;60.0
04:37:02,500;60.0
04:37:06,0;60.0
04:37:08,700;60.0
04:37:12,800;60.0
04:37:27,600;60.0
04:37:45,400;60.0
04:37:51,300;60.0
