Elapsed time;my_test_sampler
04:02:30,0;111450.0
04:02:45,0;103213.0
04:02:49,500;105558.0
04:03:48,500;116998.0
04:03:50,0;112077.0
04:04:05,0;76716.0
04:04:05,500;112463.0
04:04:06,0;79001.0
04:04:15,0;117213.0
04:04:15,500;109776.0
04:04:18,0;115395.0
04:04:43,0;39482.0
04:04:43,500;35879.0
04:05:07,500;43820.0
04:05:23,500;79848.0
04:05:25,500;150113.0
04:05:41,0;105565.0
04:06:07,500;106049.0
04:06:09,500;107821.0
04:06:24,0;119861.0
04:06:39,500;84765.0
04:06:40,0;151193.5
04:06:46,0;58887.0
04:06:54,0;88153.0
04:06:54,500;100137.0
04:07:00,500;148580.0
04:07:08,0;36922.0
04:07:22,0;92863.0
04:07:23,0;47045.0
04:07:31,500;122140.0
04:07:56,0;102475.0
04:08:01,500;83582.0
04:08:11,500;217380.0
04:08:14,0;114667.0
04:08:15,500;178669.0
04:08:43,0;191114.0
04:08:48,0;120653.0
04:08:48,500;246358.0
04:08:49,500;176689.0
04:09:12,500;120709.0
04:09:16,0;57682.0
04:09:43,0;106735.0
04:09:47,0;266296.0
04:09:55,0;92140.0
04:09:59,0;117123.0
04:10:19,500;92909.0
04:10:38,500;291536.0
04:10:39,0;286177.0
04:10:44,0;210296.0
04:11:16,0;163822.0
04:11:30,500;112008.0
04:11:34,500;110887.0
04:11:42,0;103417.0
04:11:57,500;190667.0
04:12:08,0;70569.0
04:12:17,0;454562.0
04:12:31,500;314874.0
04:12:49,0;163716.0
04:12:52,0;347895.0
04:13:23,0;275113.0
04:13:24,500;108141.0
04:13:34,0;208248.0
04:13:38,500;111896.0
04:13:39,0;119450.0
04:13:41,500;157861.0
04:14:04,0;400253.0
04:14:26,0;191667.0
04:14:29,500;444840.0
04:14:49,500;153457.0
04:14:51,500;446882.0
04:15:05,0;292432.0
04:15:11,0;235690.0
04:15:17,0;387401.0
04:15:35,0;127319.0
04:15:37,500;224992.0
04:16:14,0;163273.0
04:16:16,0;257780.0
04:16:18,0;157507.0
04:16:30,500;306323.0
04:16:35,0;255423.0
04:16:39,500;554610.0
04:16:49,500;478389.0
04:16:57,500;398863.0
04:17:09,0;343635.0
04:17:24,0;584461.0
04:17:35,0;517989.0
04:17:40,500;244191.0
04:17:41,0;337955.0
04:17:44,500;243283.0
04:17:51,0;193893.0
04:18:26,500;357563.0
04:18:52,500;510770.0
04:19:12,0;327621.0
04:19:19,500;695485.0
04:19:21,0;119239.0
04:19:29,0;541403.0
04:19:32,500;628774.0
04:19:34,500;448338.0
04:19:44,0;302774.0
04:19:56,500;729890.0
04:20:05,500;574046.0
04:20:10,500;660614.0
04:20:13,500;152240.0
04:20:14,0;462295.0
04:20:42,0;198344.0
04:20:52,0;185729.0
04:20:54,500;497855.0
04:21:00,500;371851.0
04:21:11,500;90522.0
04:21:22,500;235722.0
04:21:28,500;210589.0
04:21:31,0;739313.0
04:21:32,500;530747.0
04:21:50,500;674974.0
04:22:43,0;468289.0
04:22:49,500;185225.0
04:22:50,500;529603.0
04:23:01,500;611165.0
04:23:03,500;336817.0
04:23:07,0;291692.0
04:23:12,500;838509.0
04:23:24,500;205626.0
04:23:27,0;213757.0
04:23:43,500;651646.0
04:24:29,500;569298.0
04:24:31,0;622950.0
04:24:47,0;165309.0
04:24:48,0;375292.0
04:24:57,500;280192.0
04:25:04,500;309837.0
04:25:19,500;963923.0
04:25:23,500;148924.0
04:25:48,500;353955.0
04:26:03,500;787870.0
04:26:05,0;661693.0
04:26:22,500;455872.0
04:26:25,500;366696.0
04:26:36,500;745340.0
04:27:04,0;246172.0
04:27:08,0;401900.0
04:27:11,0;1073741.0
04:27:14,500;247974.0
04:27:17,500;77135.0
04:27:45,500;504631.0
04:27:46,0;887402.0
04:27:52,0;763043.0
04:27:54,500;107075.0
04:28:28,0;325897.0
04:28:32,500;485776.0
04:28:34,0;318139.0
04:29:10,500;1186430.0
04:29:15,0;371769.0
04:29:23,0;981309.0
04:29:28,0;858628.0
04:29:28,500;198961.0
04:29:30,0;605060.0
04:29:59,500;568768.0
04:30:17,0;418295.0
04:30:39,500;241469.0
04:31:04,0;275067.0
04:31:11,500;460470.0
04:31:12,500;100032.0
04:31:15,0;101469.0
04:31:22,500;1097578.0
04:31:27,500;974639.0
04:31:30,0;629786.0
04:32:08,500;1011347.0
04:32:22,500;325754.0
04:32:29,500;357963.0
04:32:44,0;184268.0
04:32:47,500;94594.0
04:32:49,0;507013.0
04:33:03,0;96203.0
04:33:07,500;717813.0
04:33:13,0;104547.0
04:33:48,0;403893.0
04:34:02,0;139014.0
04:34:04,0;261178.0
04:34:24,500;191527.0
04:34:26,500;1137123.0
04:34:29,0;593911.0
04:34:37,0;119687.0
04:34:49,0;816980.0
04:35:11,0;115997.0
04:35:25,0;166081.0
04:35:27,500;183845.0
04:35:39,500;334284.0
04:35:41,500;513487.0
04:36:04,500;672465.0
04:36:21,500;547785.0
04:36:22,0;909316.0
04:36:36,0;1258271.0
04:36:47,0;235023.0
04:36:55,500;266824.0
04:37:02,500;387036.0
04:37:06,0;948893.0
04:37:08,500;220775.0
04:37:12,500;1284205.0
04:37:27,500;747378.0
04:37:45,0;630107.0
04:37:51,0;1312792.0
04:38:19,500;799517.0
04:38:22,500;236908.0
04:38:24,500;464685.0
04:38:40,0;340246.0
04:38:40,500;1040935.0
04:38:42,0;299658.0
04:39:44,500;746781.0
04:39:45,0;1425137.0
04:40:02,500;884270.0
04:40:07,500;567270.0
04:40:10,0;327925.0
04:40:19,0;1133191.0
04:40:22,500;420091.5
04:40:31,0;1463947.0
04:40:53,0;364955.0
04:41:31,0;954917.0
04:41:45,0;650384.0
04:42:01,500;879478.0
04:42:03,0;1230563.0
04:42:05,500;291382.0
04:42:06,0;494635.0
04:42:09,0;1548704.0
04:42:21,500;43788.0
04:42:26,500;456681.0
04:42:39,0;917195.0
04:42:43,500;310915.0
04:42:47,500;1584460.0
04:42:50,0;144724.0
04:43:17,500;1296933.0
04:43:26,500;543462.0
04:43:40,0;100663.0
04:43:54,500;539530.0
04:44:22,0;1016851.0
04:44:30,0;383854.0
04:44:31,500;236953.0
04:44:32,500;58760.0
04:45:01,0;1393292.0
04:45:03,500;1707688.0
04:45:05,500;160014.0
04:45:08,0;414309.0
04:45:48,0;1088895.0
04:45:53,0;631345.0
04:45:55,0;307049.0
04:46:00,500;146394.0
04:46:28,0;164815.0
04:46:42,500;1800008.0
04:46:48,500;260587.0
04:46:55,0;515269.0
04:46:59,0;1800002.0
04:47:22,0;1166780.0
04:47:42,0;715379.0
04:48:05,500;1205216.0
04:48:16,0;270054.0
04:48:19,500;439999.0
04:48:25,0;289916.0
04:48:38,500;368452.0
04:48:43,0;621415.0
04:49:00,500;229381.0
04:49:38,500;831627.0
04:49:54,0;1276570.0
04:50:03,500;373910.0
04:50:04,0;537450.0
04:50:08,500;134553.0
04:50:21,500;713756.0
04:50:37,500;318231.0
04:50:46,0;494252.0
04:51:02,0;889228.0
04:51:20,0;1361557.0
04:51:30,0;617668.0
04:51:42,500;454172.0
04:51:46,0;922526.0
