tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,5.1987856323715634e-05,2.0429204037864523e-05,60,3
analyzing_data,GPU,0.0007859939037712342,0.0003601724133249669,60,3
analyzing_data,RAM,0.00012277155692174506,4.7457384598540186e-05,60,3
analyzing_data,Total,0.0009607533170167283,0.0004271830150191672,60,3
create_visualization,CPU,3.901100394506426e-05,2.0131908182945223e-05,60,3
create_visualization,GPU,0.000539416564626454,0.00036517927046769586,60,3
create_visualization,RAM,9.256604211750474e-05,4.6751587485589344e-05,60,3
create_visualization,Total,0.0006709936106890381,0.0004312392613337185,60,3
decide_tool,CPU,2.0437870256821227e-05,1.2789905695450741e-05,60,3
decide_tool,GPU,0.00022575217050881046,0.00021872836320053026,60,3
decide_tool,RAM,5.1322360178311744e-05,3.0684652834544026e-05,60,3
decide_tool,Total,0.00029751240094393516,0.00025899732907578297,60,3
lookup_sales_data,CPU,2.5944860755501446e-05,1.3366561187220143e-05,60,3
lookup_sales_data,GPU,0.0003074983038420593,0.00023780229290365295,60,3
lookup_sales_data,RAM,6.445059630675592e-05,3.023096822067481e-05,60,3
lookup_sales_data,Total,0.00039789376090431896,0.00027817084533036344,60,3
