tool_name,Metric,mean_value,std_value,cv,users,nodes
analyzing_data,CPU,3.134357489571813e-05,4.792759881146115e-06,0.15291044168037313,1,3
analyzing_data,GPU,0.0003554809735159093,5.405945566294049e-05,0.15207411842119617,1,3
analyzing_data,RAM,7.58092071603311e-05,1.1717838352655119e-05,0.15457012138212606,1,3
analyzing_data,Total,0.00046263375557196394,6.730928168857966e-05,0.145491505705985,1,3
create_visualization,CPU,3.866384206225228e-05,1.4639210320843022e-06,0.03786279257315548,1,3
create_visualization,GPU,0.0005223788067901,1.3151948222946397e-05,0.025177032551841363,1,3
create_visualization,RAM,9.253461726900587e-05,8.332068668886138e-06,0.0900427203871619,1,3
create_visualization,Total,0.00065357726612138,2.0994806129033547e-05,0.03212291372009636,1,3
decide_tool,CPU,6.952613407449313e-06,1.020415564714015e-06,0.14676719456610376,1,3
decide_tool,GPU,3.2910209114591774e-05,5.608667113448774e-06,0.1704233204328682,1,3
decide_tool,RAM,1.6215055772253765e-05,2.3808888761694085e-06,0.14683198809858203,1,3
decide_tool,Total,5.6077878294294856e-05,8.366423220881456e-06,0.14919293445759024,1,3
lookup_sales_data,CPU,1.580517672915903e-05,5.880240971079299e-06,0.37204525275765,1,3
lookup_sales_data,GPU,7.916265592242324e-05,1.9437416879280293e-05,0.24553770528275748,1,3
lookup_sales_data,RAM,4.347023185735267e-05,1.5926786980893687e-05,0.3663837596532117,1,3
lookup_sales_data,Total,0.00013843806450889929,2.5291042445084383e-05,0.18268850070103793,1,3
