tool_name,Metric,mean_value,std_value,cv,users,nodes
analyzing_data,CPU,2.187638606107188e-05,3.5260376081967135e-06,0.1611800778406974,1,1
analyzing_data,GPU,0.0002030046236835091,3.142866538887703e-05,0.15481748552621816,1,1
analyzing_data,RAM,5.4079228440167934e-05,9.09189842714453e-06,0.16812182217436047,1,1
analyzing_data,Total,0.0002789602381847485,4.060693028356453e-05,0.14556529829413023,1,1
create_visualization,CPU,3.436055259335051e-05,1.7292208644517921e-06,0.05032575828790462,1,1
create_visualization,GPU,0.00042604126676037496,9.401752192162386e-06,0.022067703120999215,1,1
create_visualization,RAM,8.568661770442744e-05,8.468791402492507e-06,0.09883446948163206,1,1
create_visualization,Total,0.0005460884370581417,1.5631433582170242e-05,0.02862436287129437,1,1
decide_tool,CPU,5.9003172931343056e-06,1.0167447168564123e-06,0.1723203458972471,1,1
decide_tool,GPU,2.3195504006389728e-05,4.330543120001384e-06,0.18669752202014828,1,1
decide_tool,RAM,1.376332479313499e-05,2.3716391821671034e-06,0.17231586246878758,1,1
decide_tool,Total,4.285914609265902e-05,7.498752375701784e-06,0.17496271063100305,1,1
lookup_sales_data,CPU,1.4631430202272317e-05,6.919196402663034e-06,0.4728995256792091,1,1
lookup_sales_data,GPU,5.2195622564774816e-05,1.3890561552204511e-05,0.2661250286835129,1,1
lookup_sales_data,RAM,4.141120824806851e-05,1.9711549985228182e-05,0.47599552920911364,1,1
lookup_sales_data,Total,0.00010823826101509226,3.8207225889767044e-05,0.35299186749165895,1,1
