tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,6.30575103391216e-05,4.511770096153895e-05,3,10
analyzing_data,GPU,0.0011151992601390037,0.0005944331153600918,3,10
analyzing_data,RAM,0.00014990561935074995,0.00010477564008498531,3,10
analyzing_data,Total,0.0013281623898289173,0.0007304927850955107,3,10
create_visualization,CPU,2.0457335999235512e-05,3.997522272591164e-06,3,10
create_visualization,GPU,0.00022423222383390802,4.7020392528379125e-05,3,10
create_visualization,RAM,4.811229469772015e-05,9.556073504824192e-06,3,10
create_visualization,Total,0.000292801854530868,5.015175182619613e-05,3,10
decide_tool,CPU,9.868268645137532e-06,1.8149701332131687e-06,3,10
decide_tool,GPU,7.546476275186992e-05,2.153431889955019e-05,3,10
decide_tool,RAM,2.3109816568494017e-05,4.654354156593352e-06,3,10
decide_tool,Total,0.00010844284796547674,2.643719437287654e-05,3,10
lookup_sales_data,CPU,2.028174186688036e-05,5.928408360214797e-06,3,10
lookup_sales_data,GPU,0.0002481906827515441,8.811036042840768e-05,3,10
lookup_sales_data,RAM,5.188465985276287e-05,1.4075602033804472e-05,3,10
lookup_sales_data,Total,0.00032035708447118635,0.00010195780003525918,3,10
