tool_name,nodes,users,Metric,mean_value,std_value
analyzing_data,3,1,execution_time,6.666070476139367,1.8170325219749104
create_visualization,3,1,execution_time,3.616160702223792,0.5523205900701078
decide_tool,3,1,execution_time,2.3268176489935803,1.7863752301854914
lookup_sales_data,3,1,execution_time,3.913476880606376,2.290722375465097
analyzing_data,5,1,execution_time,9.15058642494328,5.6599433735238
create_visualization,5,1,execution_time,8.42725896629456,18.979416276094007
decide_tool,5,1,execution_time,1.7610107709473302,0.840715410063799
lookup_sales_data,5,1,execution_time,3.0208634143538147,0.9890292652377538
analyzing_data,10,1,execution_time,13.810365865679998,6.351200486964831
create_visualization,10,1,execution_time,4.44917307727571,1.9284654674239607
decide_tool,10,1,execution_time,1.7799018926422867,0.8626104919315207
lookup_sales_data,10,1,execution_time,3.8566852274446335,1.4460098578147178
analyzing_data,3,3,execution_time,6.843592809402962,1.6933925385840936
create_visualization,3,3,execution_time,3.966663647029135,1.1432424071170832
decide_tool,3,3,execution_time,1.648569015102182,0.37982434472166
lookup_sales_data,3,3,execution_time,2.5475434989757124,0.5766994487226533
analyzing_data,5,3,execution_time,8.630351702724735,2.8792741905197228
create_visualization,5,3,execution_time,3.998685098486021,0.8011148241923534
decide_tool,5,3,execution_time,1.6928579400542756,0.493934480418038
lookup_sales_data,5,3,execution_time,3.0296051642974886,0.9091117608131224
analyzing_data,10,3,execution_time,13.893577955833448,8.379138897539827
create_visualization,10,3,execution_time,3.68347611784935,0.5605274271796234
decide_tool,10,3,execution_time,1.7103149359824048,0.4173481748902456
lookup_sales_data,10,3,execution_time,3.649827567311944,1.1630776033894363
analyzing_data,3,5,execution_time,6.8871933140784,1.8464510003321035
create_visualization,3,5,execution_time,4.320749830687419,1.3573315247921711
decide_tool,3,5,execution_time,1.6317026695620789,0.3429964370461015
lookup_sales_data,3,5,execution_time,2.5235897666011176,0.6684503411110458
analyzing_data,5,5,execution_time,8.617413501718893,5.243644811653103
create_visualization,5,5,execution_time,3.843803409406025,0.4182007229491744
decide_tool,5,5,execution_time,1.6625775237045537,0.2879984718444226
lookup_sales_data,5,5,execution_time,2.85562332519902,0.9709296016227414
analyzing_data,10,5,execution_time,13.853057197718291,8.231539194874525
create_visualization,10,5,execution_time,4.163250824281325,0.8926475465622487
decide_tool,10,5,execution_time,1.7228433410979664,0.5246689046720383
lookup_sales_data,10,5,execution_time,3.5829756302805618,1.183686072298329
analyzing_data,3,10,execution_time,10.711433866308496,4.107245017012481
create_visualization,3,10,execution_time,8.102242531202107,5.971694062762038
decide_tool,3,10,execution_time,3.1327077652305566,2.381177800989918
lookup_sales_data,3,10,execution_time,4.701419979710533,3.010294508264727
analyzing_data,5,10,execution_time,17.74303336691488,10.40169100599019
create_visualization,5,10,execution_time,12.736707215461628,11.830575863878288
decide_tool,5,10,execution_time,8.388793203660619,8.60705839521807
lookup_sales_data,5,10,execution_time,9.241934761762304,7.903041271841007
analyzing_data,3,15,execution_time,6.998308216148586,2.423967437297027
create_visualization,3,15,execution_time,3.965593777313504,0.7199317280552877
decide_tool,3,15,execution_time,1.652855623411242,0.3289002366236783
lookup_sales_data,3,15,execution_time,2.295541258063168,0.5441266561734255
analyzing_data,5,15,execution_time,7.996742238096966,3.0489883786438186
create_visualization,5,15,execution_time,3.896662505421167,0.3502514567122535
decide_tool,5,15,execution_time,1.660830415822483,0.3420680080602195
lookup_sales_data,5,15,execution_time,2.692891994742862,0.7888635988027621
analyzing_data,3,20,execution_time,12.068051460867554,5.2583262393727415
create_visualization,3,20,execution_time,8.183015973569908,5.2926431621502354
decide_tool,3,20,execution_time,3.9531855743062456,3.186533926893547
lookup_sales_data,3,20,execution_time,5.093276685139416,3.4606494232630785
analyzing_data,5,20,execution_time,37.43336316512267,23.2662057343808
create_visualization,5,20,execution_time,43.50504191456728,45.66317409835661
decide_tool,5,20,execution_time,27.26848933552644,24.188343613467605
lookup_sales_data,5,20,execution_time,27.374478677967204,22.25112629084858
analyzing_data,3,30,execution_time,12.24174577160869,4.981476810477417
create_visualization,3,30,execution_time,8.998296845705708,7.696827989641958
decide_tool,3,30,execution_time,4.062061291400915,3.35719059320322
lookup_sales_data,3,30,execution_time,5.310391572527379,3.426088441929937
analyzing_data,5,30,execution_time,45.488235038999896,28.959169849718105
create_visualization,5,30,execution_time,42.3822725442382,42.10329561742737
decide_tool,5,30,execution_time,34.18029908633609,28.96952088895658
lookup_sales_data,5,30,execution_time,32.96395045549947,26.020660085752382
analyzing_data,3,40,execution_time,12.10262359653612,4.744174016291055
create_visualization,3,40,execution_time,8.849022107222869,4.701954486196424
decide_tool,3,40,execution_time,4.033916408333373,3.184368247661004
lookup_sales_data,3,40,execution_time,5.450917326533954,3.27870702593919
analyzing_data,5,40,execution_time,61.30218355321887,48.35594402167112
create_visualization,5,40,execution_time,42.34114126829311,54.32407620702817
decide_tool,5,40,execution_time,47.31796535315501,41.12955602729632
lookup_sales_data,5,40,execution_time,47.98353097891284,40.7917195692648
analyzing_data,3,50,execution_time,11.695095135433276,4.417893593424144
create_visualization,3,50,execution_time,8.09102533769448,4.094828831601424
decide_tool,3,50,execution_time,3.831197831182344,2.998472420412798
lookup_sales_data,3,50,execution_time,4.885851189699798,2.924725088292881
analyzing_data,5,50,execution_time,28.139900158657376,31.17291527155631
create_visualization,5,50,execution_time,31.6265913244704,53.73070232011274
decide_tool,5,50,execution_time,37.79227666228617,42.04479025508187
lookup_sales_data,5,50,execution_time,37.5107632897564,44.88524350575828
analyzing_data,3,60,execution_time,11.369322752536512,4.833501113955639
