tool_name,nodes,Metric,mean_value,std_value
analyzing_data,3,cpu_energy,4.917360295523026e-05,1.711943504607796e-05
analyzing_data,3,gpu_energy,0.0007388975109931363,0.00030380251833063735
analyzing_data,3,ram_energy,0.00011676572987509184,4.0235291940576806e-05
analyzing_data,3,total_energy,0.0009048368438234893,0.0003600956834898256
analyzing_data,5,cpu_energy,7.958581938240395e-05,4.52799139128526e-05
analyzing_data,5,gpu_energy,0.0012610139211428478,0.0007680701183222869
analyzing_data,5,ram_energy,0.0001847642723617502,0.00010691961684412546
analyzing_data,5,total_energy,0.0015253640128870558,0.0009182843923157272
create_visualization,3,cpu_energy,3.834045837176581e-05,2.4622298262643617e-05
create_visualization,3,gpu_energy,0.0005402271624072797,0.0004468027994326635
create_visualization,3,ram_energy,9.171953331516286e-05,5.7098448880830605e-05
create_visualization,3,total_energy,0.0006702871540942298,0.0005278531879934701
create_visualization,5,cpu_energy,5.924942213345889e-05,4.974775071455501e-05
create_visualization,5,gpu_energy,0.0008842254736936969,0.00087700846247979
create_visualization,5,ram_energy,0.0001366592975995859,0.00011124052080670172
create_visualization,5,total_energy,0.0010801341934267698,0.0010374740147389614
decide_tool,3,cpu_energy,1.7659155286142064e-05,1.0813100098790017e-05
decide_tool,3,gpu_energy,0.00018277353825905956,0.00017274937823231923
decide_tool,3,ram_energy,4.3966216207909797e-05,2.650908627440941e-05
decide_tool,3,total_energy,0.00024439890975309816,0.0002065115147818525
decide_tool,5,cpu_energy,4.010684688201388e-05,3.5570631147884864e-05
decide_tool,5,gpu_energy,0.0005726428435471602,0.0006355269412156937
decide_tool,5,ram_energy,9.458065468058907e-05,8.472158285785943e-05
decide_tool,5,total_energy,0.0007073303451097759,0.0007544742210924546
lookup_sales_data,3,cpu_energy,2.525889850615211e-05,1.2584572946706441e-05
lookup_sales_data,3,gpu_energy,0.0002924468412196305,0.0002112526282684275
lookup_sales_data,3,ram_energy,6.32648998104004e-05,2.8574471055974685e-05
lookup_sales_data,3,total_energy,0.0003809706395361845,0.00024762166495287245
lookup_sales_data,5,cpu_energy,4.454813431276789e-05,3.268372599430835e-05
lookup_sales_data,5,gpu_energy,0.0006317462669300142,0.0005859547237580069
lookup_sales_data,5,ram_energy,0.00010451333125432457,7.445695994746824e-05
lookup_sales_data,5,total_energy,0.0007808077324971268,0.0006917983538396373
