tool_name,nodes,users,Metric,mean_value,std_value
decide_tool,5,3,gpu_energy,6.567692499808883e-05,2.0822356346952293e-05
decide_tool,5,3,ram_energy,2.2592943944969745e-05,5.288176932804682e-06
decide_tool,5,3,total_energy,9.795433205241777e-05,2.812399417173481e-05
lookup_sales_data,5,3,cpu_energy,1.8289644467547868e-05,5.928855570437932e-06
lookup_sales_data,5,3,gpu_energy,0.000183437769532,5.87942085254944e-05
lookup_sales_data,5,3,ram_energy,4.8073031872364826e-05,1.4791223016776515e-05
lookup_sales_data,5,3,total_energy,0.0002498004458719,6.85220994364102e-05
analyzing_data,10,3,cpu_energy,6.30575103391216e-05,4.511770096153895e-05
analyzing_data,10,3,gpu_energy,0.001115199260139,0.00059443311536
analyzing_data,10,3,ram_energy,0.0001499056193507,0.0001047756400849
analyzing_data,10,3,total_energy,0.0013281623898289,0.0007304927850955
create_visualization,10,3,cpu_energy,2.0457335999235512e-05,3.997522272591164e-06
create_visualization,10,3,gpu_energy,0.0002242322238339,4.7020392528379125e-05
create_visualization,10,3,ram_energy,4.811229469772015e-05,9.556073504824192e-06
create_visualization,10,3,total_energy,0.0002928018545308,5.015175182619613e-05
decide_tool,10,3,cpu_energy,9.868268645137532e-06,1.8149701332131687e-06
decide_tool,10,3,gpu_energy,7.546476275186992e-05,2.153431889955019e-05
decide_tool,10,3,ram_energy,2.3109816568494017e-05,4.654354156593352e-06
decide_tool,10,3,total_energy,0.0001084428479654,2.643719437287654e-05
lookup_sales_data,10,3,cpu_energy,2.028174186688036e-05,5.928408360214797e-06
lookup_sales_data,10,3,gpu_energy,0.0002481906827515,8.811036042840768e-05
lookup_sales_data,10,3,ram_energy,5.188465985276287e-05,1.4075602033804472e-05
lookup_sales_data,10,3,total_energy,0.0003203570844711,0.0001019578000352
analyzing_data,3,5,cpu_energy,7.391290455943344e-05,5.40055492622392e-05
analyzing_data,3,5,gpu_energy,0.0004063924357501,0.0001251760346866
analyzing_data,3,5,ram_energy,8.042870533867521e-05,1.8995066475347146e-05
analyzing_data,3,5,total_energy,0.0005607340456483,0.0001757057524192
create_visualization,3,5,cpu_energy,4.62469955968124e-05,4.056536050741888e-05
create_visualization,3,5,gpu_energy,0.0002111155421537,8.526597301601591e-05
create_visualization,3,5,ram_energy,5.301956933043249e-05,1.7254125460155514e-05
create_visualization,3,5,total_energy,0.000310382107081,0.000135486583584
decide_tool,3,5,cpu_energy,1.858378354002518e-05,1.205723408019846e-05
decide_tool,3,5,gpu_energy,4.450317150087037e-05,1.1813508950632385e-05
decide_tool,3,5,ram_energy,2.1687916995944504e-05,3.9938504284055375e-06
decide_tool,3,5,total_energy,8.47748720368302e-05,2.1669480692938665e-05
lookup_sales_data,3,5,cpu_energy,3.47287068441268e-05,2.5996719754742653e-05
lookup_sales_data,3,5,gpu_energy,9.94408084058587e-05,3.328979672876454e-05
lookup_sales_data,3,5,ram_energy,4.867182513612703e-05,1.6254812798801392e-05
lookup_sales_data,3,5,total_energy,0.000182841340386,5.480369683811711e-05
analyzing_data,5,5,cpu_energy,4.1030841430752526e-05,2.8224385002520424e-05
analyzing_data,5,5,gpu_energy,0.00066157318115,0.0003211929054406
analyzing_data,5,5,ram_energy,9.863295945780776e-05,6.63679946398746e-05
analyzing_data,5,5,total_energy,0.0008012369820386,0.0004073422776042
create_visualization,5,5,cpu_energy,2.0349905317298312e-05,3.4931579468096e-06
create_visualization,5,5,gpu_energy,0.0002360659859559,3.4861773288640665e-05
create_visualization,5,5,ram_energy,4.795598956702305e-05,8.53116009824857e-06
create_visualization,5,5,total_energy,0.0003043718808402,4.576614673767964e-05
decide_tool,5,5,cpu_energy,9.574310406719502e-06,1.5839531216604188e-06
decide_tool,5,5,gpu_energy,6.393816611539989e-05,1.3377853601346283e-05
decide_tool,5,5,ram_energy,2.2336032349010963e-05,3.695050250237698e-06
decide_tool,5,5,total_energy,9.584850887111568e-05,1.816383678234462e-05
lookup_sales_data,5,5,cpu_energy,1.7635308044842767e-05,6.308079776837337e-06
lookup_sales_data,5,5,gpu_energy,0.0001701560791058,6.442824926564515e-05
lookup_sales_data,5,5,ram_energy,4.819368772619863e-05,1.6252999036524402e-05
lookup_sales_data,5,5,total_energy,0.0002359850748768,7.523636079930799e-05
analyzing_data,10,5,cpu_energy,6.208796987842896e-05,3.84208285233451e-05
analyzing_data,10,5,gpu_energy,0.001109812782132,0.000587780829627
analyzing_data,10,5,ram_energy,0.0001486344637619,9.624828836452248e-05
analyzing_data,10,5,total_energy,0.0013205352157724,0.0007126446609432
create_visualization,10,5,cpu_energy,2.1047882301112016e-05,3.946153981338669e-06
create_visualization,10,5,gpu_energy,0.0002657182449811,7.821718518205467e-05
create_visualization,10,5,ram_energy,5.2276965950538095e-05,1.1746974345310384e-05
