tool_name,nodes,users,Metric,mean_value,std_value
analyzing_data,3,1,cpu_utilization,2.3288359788359787,0.1276649203675401
analyzing_data,3,1,gpu_utilization,37.11456978055338,2.5397127680083984
create_visualization,3,1,cpu_utilization,0.6906974604343026,0.0659627789937446
create_visualization,3,1,gpu_utilization,6.189807999018526,1.5206043464483658
lookup_sales_data,3,1,cpu_utilization,1.1933603395061727,0.3664243507503696
lookup_sales_data,3,1,gpu_utilization,3.479822530864197,6.099233883087798
analyzing_data,5,1,cpu_utilization,2.5385580646884054,0.422277228192068
analyzing_data,5,1,gpu_utilization,36.826041513048864,3.901495910413434
create_visualization,5,1,cpu_utilization,0.7375314474604835,0.1579734607649476
create_visualization,5,1,gpu_utilization,6.503591858319091,3.05064685440984
lookup_sales_data,5,1,cpu_utilization,2.0694609868043603,0.5183615947339518
lookup_sales_data,5,1,gpu_utilization,10.013231975521132,9.751993326996846
analyzing_data,10,1,cpu_utilization,2.829686886960171,0.3933445012084192
analyzing_data,10,1,gpu_utilization,36.90337935788611,2.095366140990229
create_visualization,10,1,cpu_utilization,0.7478524743230626,0.1721962290228958
create_visualization,10,1,gpu_utilization,7.126871902607197,3.461413085878415
lookup_sales_data,10,1,cpu_utilization,4.261086487586487,0.7584938396008252
lookup_sales_data,10,1,gpu_utilization,16.238782814407813,12.80480205682132
analyzing_data,3,3,cpu_utilization,2.344923230974633,0.182748547200928
analyzing_data,3,3,gpu_utilization,36.804759432329526,3.2123060411662854
create_visualization,3,3,cpu_utilization,0.7228508117397007,0.1043586987880256
create_visualization,3,3,gpu_utilization,6.530875503097725,2.0714400400888224
lookup_sales_data,3,3,cpu_utilization,1.2302718253968254,0.1194770903250676
lookup_sales_data,3,3,gpu_utilization,0.8005158730158729,2.262723622072013
analyzing_data,5,3,cpu_utilization,2.5224413576268416,0.1592120769895692
analyzing_data,5,3,gpu_utilization,36.88985841667293,1.9295253597308588
create_visualization,5,3,cpu_utilization,0.7507144764957264,0.0858103215760216
create_visualization,5,3,gpu_utilization,6.743503891941391,1.7727892275276218
lookup_sales_data,5,3,cpu_utilization,1.9871962785114048,0.1608925542325751
lookup_sales_data,5,3,gpu_utilization,3.67125350140056,3.416599188323537
analyzing_data,10,3,cpu_utilization,2.842030711065566,0.5026964469540103
analyzing_data,10,3,gpu_utilization,36.52532942831369,3.092510756473353
create_visualization,10,3,cpu_utilization,0.7043519813519814,0.0692844630024373
create_visualization,10,3,gpu_utilization,5.811515151515152,1.3827042896566568
lookup_sales_data,10,3,cpu_utilization,4.005084352701325,0.3797358838511677
lookup_sales_data,10,3,gpu_utilization,7.150460535896316,3.4781161449278306
analyzing_data,3,5,cpu_utilization,17.605653348708902,17.18166478110514
analyzing_data,3,5,gpu_utilization,34.715823836657165,2.810157466892857
create_visualization,3,5,cpu_utilization,13.56049594196653,16.50406711150186
create_visualization,3,5,gpu_utilization,6.822250362484738,2.1098043268660343
lookup_sales_data,3,5,cpu_utilization,15.05210397897898,16.735022381168356
lookup_sales_data,3,5,gpu_utilization,0.7727946696696697,1.83468083366528
analyzing_data,5,5,cpu_utilization,2.54883967600191,0.3660996334894317
analyzing_data,5,5,gpu_utilization,36.612074403124936,3.282289223571407
create_visualization,5,5,cpu_utilization,0.7215865751334859,0.0711584129680795
create_visualization,5,5,gpu_utilization,6.036165874552602,1.461063487681015
