Elapsed time;jp@gc - Ultimate Thread Group
02:02:17,500;18.0
02:02:25,800;18.0
02:02:33,0;18.0
02:02:48,500;19.0
02:04:00,600;21.0
02:04:09,200;21.0
02:04:13,500;22.0
02:04:40,0;22.0
02:04:44,0;23.0
02:04:54,200;23.0
02:04:54,700;23.0
02:05:18,400;24.0
02:05:22,400;24.0
02:05:27,300;24.0
02:06:00,800;25.0
02:06:19,300;26.0
02:06:23,200;26.0
02:06:27,700;26.0
02:06:32,0;26.0
02:06:33,900;26.0
02:07:15,800;28.0
02:08:12,300;30.0
02:08:12,500;30.0
02:08:29,400;30.0
02:08:38,300;30.0
02:09:15,900;30.0
02:09:29,100;30.0
02:09:31,800;30.0
02:09:47,400;30.0
02:09:52,600;30.0
02:10:01,300;30.0
02:10:12,100;30.0
02:10:12,700;30.0
02:10:19,100;30.0
02:12:00,600;30.0
02:12:16,600;30.0
02:12:27,500;30.0
02:12:28,300;30.0
02:12:42,600;30.0
02:13:14,800;30.0
02:14:36,500;30.0
02:14:46,700;30.0
02:14:47,900;30.0
02:14:48,100;30.0
02:14:49,700;30.0
02:15:15,800;30.0
02:15:16,800;30.0
02:15:17,300;30.0
02:15:24,700;30.0
02:16:15,700;30.0
02:16:20,600;30.0
02:16:24,300;30.0
02:16:39,500;30.0
02:16:42,100;30.0
02:16:46,300;30.0
02:16:46,700;30.0
02:17:16,400;30.0
02:17:37,0;30.0
02:17:59,800;30.0
02:18:02,800;30.0
02:18:06,100;30.0
02:18:06,200;30.0
02:18:12,600;30.0
02:18:15,400;30.0
02:18:27,200;30.0
02:18:29,500;30.0
02:18:29,700;30.0
02:19:40,300;30.0
02:20:07,900;30.0
02:20:12,300;30.0
02:20:13,100;30.0
02:20:13,900;30.0
02:20:20,800;30.0
02:21:41,0;30.0
02:21:43,900;30.0
02:21:46,200;30.0
02:21:46,300;30.0
02:21:46,900;30.0
02:21:51,600;30.0
02:22:17,700;30.0
02:22:28,800;30.0
02:22:29,500;30.0
02:22:31,200;30.0
02:22:47,500;30.0
02:23:28,100;30.0
02:23:46,800;30.0
02:23:48,0;30.0
02:23:57,400;30.0
02:24:15,300;30.0
02:24:49,300;30.0
02:25:20,0;30.0
02:25:47,400;30.0
02:25:50,100;30.0
02:26:05,0;30.0
02:26:05,500;30.0
02:27:10,100;30.0
02:27:20,300;30.0
02:27:25,200;30.0
02:27:47,0;30.0
02:29:27,600;30.0
02:29:42,500;30.0
02:30:04,900;30.0
02:30:05,0;30.0
02:30:07,300;30.0
02:30:08,500;30.0
02:30:30,900;30.0
02:30:50,300;30.0
02:31:19,400;30.0
02:31:20,100;30.0
02:31:24,700;30.0
02:31:28,0;30.0
02:31:36,600;30.0
02:31:37,300;30.0
02:31:39,800;30.0
02:31:48,400;30.0
02:32:14,900;30.0
02:32:17,400;30.0
02:32:53,100;30.0
02:32:55,600;30.0
02:33:05,800;30.0
02:33:33,500;30.0
02:33:51,800;30.0
02:33:58,100;30.0
02:33:59,300;30.0
02:34:15,700;30.0
02:35:06,200;30.0
02:35:21,400;30.0
02:35:23,200;30.0
02:36:00,500;30.0
02:36:40,400;30.0
02:37:15,600;30.0
02:37:16,400;30.0
02:37:30,100;30.0
02:37:33,100;30.0
02:37:47,400;30.0
02:38:03,700;30.0
02:38:09,600;30.0
02:38:12,200;30.0
02:38:12,300;30.0
02:38:12,900;30.0
02:38:18,800;30.0
02:38:19,400;30.0
02:38:40,700;30.0
02:38:51,900;30.0
02:38:54,800;30.0
02:38:59,700;30.0
02:39:27,600;30.0
02:39:33,900;30.0
02:39:51,300;30.0
02:40:12,300;30.0
02:40:12,600;30.0
02:40:13,500;30.0
02:40:33,600;30.0
02:40:52,500;30.0
02:41:01,0;30.0
02:41:19,200;30.0
02:41:58,700;30.0
02:42:00,100;30.0
02:42:39,300;30.0
02:44:06,700;30.0
02:44:07,800;30.0
02:44:17,300;29.0
02:44:17,600;29.0
02:44:18,300;29.0
02:44:18,800;29.0
02:44:19,500;29.0
02:44:21,400;29.0
02:44:34,300;29.0
02:44:35,500;29.0
02:44:54,0;29.0
02:44:54,700;29.0
02:45:02,400;29.0
02:45:11,800;29.0
02:45:12,200;28.0
02:45:13,100;28.0
02:45:21,500;28.0
02:45:22,200;27.0
02:46:22,600;27.0
02:46:25,0;27.0
02:46:42,600;27.0
02:46:58,600;26.0
02:47:06,700;25.333333333333332
02:47:42,0;25.0
02:47:57,0;24.0
02:47:57,600;23.0
02:49:19,400;22.0
02:49:55,300;21.0
02:50:00,800;20.0
02:50:13,700;19.0
02:50:37,200;18.0
02:50:37,900;17.0
02:51:04,100;16.0
02:51:11,900;15.0
02:51:12,500;14.0
02:51:16,100;13.0
02:51:28,0;12.0
02:51:29,200;11.0
02:51:31,600;10.0
02:51:52,300;9.0
02:52:09,500;8.0
02:52:10,100;7.0
02:52:13,400;6.0
02:52:20,500;5.0
02:52:32,500;4.0
02:52:33,500;3.0
02:52:39,100;2.0
02:56:07,100;6.0
02:56:41,600;8.0
02:58:14,200;11.0
02:58:15,400;11.0
02:58:16,900;11.0
02:58:19,100;11.0
02:58:35,100;11.0
02:59:18,700;13.0
02:59:23,400;13.0
02:59:30,300;13.0
02:59:51,900;14.0
