tool_name,Metric,mean_value,std_value,cv,users,nodes
analyzing_data,CPU,4.0921018810865046e-05,7.859047175291485e-06,0.19205404468582804,1,5
analyzing_data,GPU,0.0005267125179082944,0.00011194345234178897,0.21253235595452352,1,5
analyzing_data,RAM,9.923777810346004e-05,1.8144811848216252e-05,0.1828417785543267,1,5
analyzing_data,Total,0.0006668713148226449,0.00013607256600240236,0.20404621248192537,1,5
create_visualization,CPU,4.333320718294839e-05,1.8074151889376702e-06,0.041709702706908984,1,5
create_visualization,GPU,0.000591647862209,1.5839554065786912e-05,0.026771928164580402,1,5
create_visualization,RAM,0.0001023804743900702,4.73285017141801e-06,0.04622805471076275,1,5
create_visualization,Total,0.00073736154378204,1.1955114622857894e-05,0.016213368765528896,1,5
decide_tool,CPU,7.495421478583849e-06,1.1019194788314604e-06,0.14701234373275723,1,5
decide_tool,GPU,3.724139709287258e-05,6.522310684549629e-06,0.1751360366069053,1,5
decide_tool,RAM,1.748178531775663e-05,2.571616982289609e-06,0.14710265202018938,1,5
decide_tool,Total,6.221860388921288e-05,9.384606021094274e-06,0.1508327965346925,1,5
lookup_sales_data,CPU,1.6688664980429635e-05,4.7684210237805964e-06,0.28572812920460683,1,5
lookup_sales_data,GPU,0.00011828062741198417,3.217597937066237e-05,0.2720308479476522,1,5
lookup_sales_data,RAM,4.506255119148802e-05,1.2771043380642557e-05,0.2834070207515218,1,5
lookup_sales_data,Total,0.00018003184358387998,3.2721801125997335e-05,0.1817556298630674,1,5
