tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,4.1030841430752526e-05,2.8224385002520424e-05,5,5
analyzing_data,GPU,0.0006615731811500887,0.0003211929054406291,5,5
analyzing_data,RAM,9.863295945780776e-05,6.63679946398746e-05,5,5
analyzing_data,Total,0.0008012369820386667,0.0004073422776042451,5,5
create_visualization,CPU,2.0349905317298312e-05,3.4931579468096e-06,5,5
create_visualization,GPU,0.0002360659859559174,3.4861773288640665e-05,5,5
create_visualization,RAM,4.795598956702305e-05,8.53116009824857e-06,5,5
create_visualization,Total,0.00030437188084023913,4.576614673767964e-05,5,5
decide_tool,CPU,9.574310406719502e-06,1.5839531216604188e-06,5,5
decide_tool,GPU,6.393816611539989e-05,1.3377853601346283e-05,5,5
decide_tool,RAM,2.2336032349010963e-05,3.695050250237698e-06,5,5
decide_tool,Total,9.584850887111568e-05,1.816383678234462e-05,5,5
lookup_sales_data,CPU,1.7635308044842767e-05,6.308079776837337e-06,5,5
lookup_sales_data,GPU,0.00017015607910585414,6.442824926564515e-05,5,5
lookup_sales_data,RAM,4.819368772619863e-05,1.6252999036524402e-05,5,5
lookup_sales_data,Total,0.00023598507487688987,7.523636079930799e-05,5,5
