tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,3.292576855939241e-05,7.346607209460223e-06,3,3
analyzing_data,GPU,0.00041871677059087813,0.00011684857692555642,3,3
analyzing_data,RAM,8.001179765640332e-05,1.7341602083502157e-05,3,3
analyzing_data,Total,0.00053165433680668,0.00013902503292402373,3,3
create_visualization,CPU,2.02655112830761e-05,4.8595570372098625e-06,3,3
create_visualization,GPU,0.00019664916966521481,8.604307583925525e-05,3,3
create_visualization,RAM,5.044346300601192e-05,1.459143429699016e-05,3,3
create_visualization,Total,0.0002673581439543148,0.00010363921932610837,3,3
decide_tool,CPU,9.366992704499806e-06,1.6766816660191327e-06,3,3
decide_tool,GPU,4.5675996015522485e-05,1.306597984871474e-05,3,3
decide_tool,RAM,2.1852462709545433e-05,3.9108451043155935e-06,3,3
decide_tool,Total,7.689545142956727e-05,1.8613888443573315e-05,3,3
lookup_sales_data,CPU,1.7578866002075965e-05,6.218473643903987e-06,3,3
lookup_sales_data,GPU,0.00010228745220035464,2.978572332960505e-05,3,3
lookup_sales_data,RAM,4.85582749706831e-05,1.54902339779869e-05,3,3
lookup_sales_data,Total,0.00016842459317309433,3.464675951506389e-05,3,3
