Elapsed time;jp@gc - Ultimate Thread Group
06:08:42,700;5.0
06:09:25,800;7.0
06:10:03,0;8.0
06:10:09,500;8.0
06:10:11,800;8.0
06:10:29,400;9.0
06:10:47,100;10.0
06:10:49,200;10.0
06:11:15,500;11.0
06:11:34,200;11.0
06:11:46,500;12.0
06:11:53,600;12.0
06:11:59,500;12.0
06:12:00,700;12.0
06:12:01,600;12.0
06:12:11,600;12.0
06:12:21,900;13.0
06:12:26,900;13.0
06:12:49,600;14.0
06:12:55,200;14.0
06:13:09,100;14.0
06:13:25,0;15.0
06:13:38,600;15.0
06:13:43,700;15.0
06:13:44,700;15.0
06:13:50,800;16.0
06:13:52,600;16.0
06:13:52,700;16.0
06:14:39,100;17.0
06:14:59,900;18.0
06:15:18,500;19.0
06:15:19,200;19.0
06:15:23,700;19.0
06:15:36,700;19.0
06:15:45,900;20.0
06:15:47,100;20.0
06:15:54,600;20.0
06:15:55,500;20.0
06:16:36,0;20.0
06:16:54,200;20.0
06:17:10,100;20.0
06:17:14,900;20.0
06:17:18,900;20.0
06:17:21,200;20.0
06:17:22,400;20.0
06:17:44,900;20.0
06:18:22,600;20.0
06:18:43,700;20.0
06:18:45,0;20.0
06:19:01,500;20.0
06:19:02,500;20.0
06:19:07,500;20.0
06:19:25,400;20.0
06:19:35,800;20.0
06:19:50,300;20.0
06:20:15,200;20.0
06:20:16,700;20.0
06:20:18,0;20.0
06:20:36,800;20.0
06:20:37,600;20.0
06:20:45,500;20.0
06:21:09,100;20.0
06:21:11,700;20.0
06:21:45,500;20.0
06:21:48,0;20.0
06:21:58,300;20.0
06:22:29,400;20.0
06:22:31,600;20.0
06:22:36,100;20.0
06:22:41,500;20.0
06:22:47,400;20.0
06:22:51,400;20.0
06:23:13,800;20.0
06:23:30,800;20.0
06:23:42,0;20.0
06:23:50,800;20.0
06:23:59,500;20.0
06:24:16,200;20.0
06:24:19,100;20.0
06:24:27,700;20.0
06:24:35,700;20.0
06:25:01,0;20.0
06:25:05,800;20.0
06:25:26,300;20.0
06:25:37,800;20.0
06:25:57,900;20.0
06:25:58,500;20.0
06:26:16,900;20.0
06:26:19,300;20.0
06:26:32,400;20.0
06:26:41,300;20.0
06:26:53,600;20.0
06:27:01,600;20.0
06:27:02,900;20.0
06:27:29,900;20.0
06:27:42,900;20.0
06:27:50,400;20.0
06:27:55,300;20.0
06:28:01,200;20.0
06:28:04,400;20.0
06:28:12,400;20.0
06:29:06,300;20.0
06:29:17,600;20.0
06:29:25,600;20.0
06:29:28,300;20.0
06:29:36,400;20.0
06:29:44,500;20.0
06:30:17,400;20.0
06:30:34,700;20.0
06:30:41,300;20.0
06:30:51,500;20.0
