tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,7.391290455943344e-05,5.40055492622392e-05,5,3
analyzing_data,GPU,0.0004063924357501775,0.00012517603468666913,5,3
analyzing_data,RAM,8.042870533867521e-05,1.8995066475347142e-05,5,3
analyzing_data,Total,0.0005607340456483153,0.00017570575241927062,5,3
create_visualization,CPU,4.6246995596812394e-05,4.056536050741888e-05,5,3
create_visualization,GPU,0.0002111155421537594,8.526597301601591e-05,5,3
create_visualization,RAM,5.301956933043249e-05,1.7254125460155514e-05,5,3
create_visualization,Total,0.000310382107081,0.00013548658358408355,5,3
decide_tool,CPU,1.858378354002518e-05,1.205723408019846e-05,5,3
decide_tool,GPU,4.4503171500870374e-05,1.1813508950632383e-05,5,3
decide_tool,RAM,2.1687916995944504e-05,3.9938504284055375e-06,5,3
decide_tool,Total,8.47748720368302e-05,2.1669480692938665e-05,5,3
lookup_sales_data,CPU,3.47287068441268e-05,2.5996719754742653e-05,5,3
lookup_sales_data,GPU,9.94408084058587e-05,3.328979672876454e-05,5,3
lookup_sales_data,RAM,4.867182513612703e-05,1.6254812798801392e-05,5,3
lookup_sales_data,Total,0.0001828413403860951,5.480369683811711e-05,5,3
